Name_val,IdCode_val,Cost_PriorYear_TotalCost_val,Cost_AllPriorYears_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_CurrentYear_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_Continuing_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_CurrentYear_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FiscalYear_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_PCOLocation_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_AwardDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FirstDeliveryDate_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_Quantity_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_UnitCost_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_FundingVehicle_val,ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning_SpecsAvailableNow_val,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"DISCREET OCULUS","","","","","","","","1","","","","","","","","","4.34","","","","","","","","","","","4.34","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.xml","828cc22e9c55d797276ee4e2dcd3ae308a8c415435617dd590515b28b8ca0f2c","1-ac681e930c208a12aca35bf6af6e2acff06fbc7bd2dcf7fdbf2dea9909bf5b73","","","","","","","","","","","","","","","","","","","","4-1636897ab5389f28cdbd71d964e63d51f2cb70eee24c5e06d69bdaa12e9445b1","root.record.ItemExhibitList.P5Item"
"Harvester Particulate Airborne Collection System","","","","","","","","1","","","","","","","","","1.573","","","","","","","","","","","1.573","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.xml","828cc22e9c55d797276ee4e2dcd3ae308a8c415435617dd590515b28b8ca0f2c","2-8857737cb0d2500a162f181a74b5fa813bb3276963f67be5df4f1b77715c9333","","","","","","","","","","","","","","","","","","","","4-1636897ab5389f28cdbd71d964e63d51f2cb70eee24c5e06d69bdaa12e9445b1","root.record.ItemExhibitList.P5Item"
"Modular Whole Air Collection System","","","","","","","","1","","","","","","","","","0.96","","","","","","","","","","","0.96","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.xml","828cc22e9c55d797276ee4e2dcd3ae308a8c415435617dd590515b28b8ca0f2c","3-54f8413c9c30e4027f8463ee0702d91edc2cac9d8dd54c8ad184cdc8b4a031e1","","","","","","","","","","","","","","","","","","","","4-1636897ab5389f28cdbd71d964e63d51f2cb70eee24c5e06d69bdaa12e9445b1","root.record.ItemExhibitList.P5Item"
"SOCOM Underwater Monitor","","","","","","","","1","","","","","","","","","1.437","","","","","","","","","","","1.437","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.xml","828cc22e9c55d797276ee4e2dcd3ae308a8c415435617dd590515b28b8ca0f2c","4-17a0671da040bb4ca601b5a19d300b622a96f112e97cee67fa7a41fe2c5fe923","","","","","","","","","","","","","","","","","","","","4-1636897ab5389f28cdbd71d964e63d51f2cb70eee24c5e06d69bdaa12e9445b1","root.record.ItemExhibitList.P5Item"
"Radiological Detection System","","","","","","","","","15","15","","","","","","","","","0.247","0.247","","","","","","","","","0.017","0.017","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.xml","828cc22e9c55d797276ee4e2dcd3ae308a8c415435617dd590515b28b8ca0f2c","5-d3a4ac7a1878285c0c172ee4b23cb58edc9d8872b26c14d3967f942c64b82c70","","","","","","","","","","","","","","","","","","","","4-1636897ab5389f28cdbd71d964e63d51f2cb70eee24c5e06d69bdaa12e9445b1","root.record.ItemExhibitList.P5Item"
"Training Devices","","","","","","","","","","","","","","","","","81.332","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","bed04baa3091368274e0191d3fc41c668eedff4f3d96b1abf4c6709423063911","0-51ae1b29a2e063cb3fc14d9387e996061d9fa5a2ede1752c583e6999b864f481","","","","","","","","","","","","","","","","","","","","0-d16d01d2c883a475cfeb246bc22b767accd842005012656512a638a34a92fc5d","root.record.ItemExhibitList.P5Item"
"Interim Contractor Logistics Support","","","","","","","","","","","","","","","","","42.307","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","bed04baa3091368274e0191d3fc41c668eedff4f3d96b1abf4c6709423063911","1-25301fdf61a96bb536121aa7d9ce732fad3e0372fb2578089aa22127a69c31b3","","","","","","","","","","","","","","","","","","","","0-d16d01d2c883a475cfeb246bc22b767accd842005012656512a638a34a92fc5d","root.record.ItemExhibitList.P5Item"
"Universal Mission Simulators Spares","","","","","","","","","","","","","","","","","7.325","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","bed04baa3091368274e0191d3fc41c668eedff4f3d96b1abf4c6709423063911","2-3fc23a2fcec5ab1944677b8a24c06c5cc420daaee42769a566ff3fb132640cf6","","","","","","","","","","","","","","","","","","","","0-d16d01d2c883a475cfeb246bc22b767accd842005012656512a638a34a92fc5d","root.record.ItemExhibitList.P5Item"
"New Equipment Training","","","","","","","","","","","","","","","","","","","2.548","2.548","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","f543b6a05b48148f8622a902e9da0ee22d02faec047352746498a2f5580c97b8","0-c2bd41695371dbcab0c3423a122a425fafb76e8da714d50b10078935bc4ca231","","","","","","","","","","","","","","","","","","","","0-4bfa7d7c0e59171b17d62d89d0f554fdc623c0379bc3e660d707f9fb64905841","root.record.ItemExhibitList.P5Item"
"Initial Spares / Support Equipment","","","","","","","","","","","","","","","","","","18.659","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","50a5217e1270d0048e174d6aba1ea43048f8902784301504ef4ca043ba1d93b3","0-21f06595771d42a3251a2f811698bde91f15d0209ea570120eb920f7870a8a55","","","","","","","","","","","","","","","","","","","","0-ea8ad00ad7c87d5cb31c4560d04acaa50df493cdb256b6dd093989f034bfd5a5","root.record.ItemExhibitList.P5Item"
"8. Integrated Logistics Support (ILS)","","","","","","","","","","","","","","","","0.11","0.828","0.354","0.152","0.152","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_WTCV-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","dab2dc30e3f87a72b4018e19189057431d16689bdf1b427cb35841e85e169990","0-69d834bb1c50e5ac0d4324134954eb6910532d86785170d06bdc8fb99b80ca2c","","","","","","","","","","","","","","","","","","","","0-da501e7061cf88e699b78f083a08319c2d8b145694e4c7c6c5266ef6ffde6894","root.record.ItemExhibitList.P5Item"
"Authorized Stockage List","","","","","","","","","","","","","","","","19.291","49.468","10.004","19.309","19.309","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_WTCV-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","13f9ee13954f07ef922a55bc8970df70f011e95b244d193daf97ad7ae5687725","0-524d838787270e6aa25d39fcfcf54cf13ccc82fb4ffd38749a0e84202e3fa37f","","","","","","","","","","","","","","","","","","","","0-40621675c14a4b99bb3c46614f381075df694c8a26aee7ca81b0e84491e553af","root.record.ItemExhibitList.P5Item"
"Deployment Activities","","","","","","","","","1","1","","","","","","","","","10.71","10.71","","","","","","","","","10710","10710","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","51236519ecb09c8b6ba737c7b761a5796e49ba02390051435c0a6b218da0ee54","0-c88cb018a296e7c84164df3f6b4672cf38918d3487c981665390188e0f71be0c","","","","","","","","","","","","","","","","","","","","0-7239f750df5d150732f14dc215926baaa94f99ffa12c84e7f0d72d614f235fa9","root.record.ItemExhibitList.P5Item"
"EWTV Services","","","","","","","1","","","","","","","","","3.87","","","","","","","","","","","3870","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","d5240ff4c7e79de7e15416cf9377c2be2f6ae02e5a70527e4c772787a856bd28","0-59d45f01d6bfcdbc4027518684ba13c5f0904095cff4db5800e73714275f4c96","","","","","","","","","","","","","","","","","","","","0-b74610761ce17989e7a8fa3a89e49847192d12f189cadf974688b7e37bb5c4f1","root.record.ItemExhibitList.P5Item"
"VROD/VMAX Services","","","","","","","1","","","","","","","","","0.747","","","","","","","","","","","747","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","d5240ff4c7e79de7e15416cf9377c2be2f6ae02e5a70527e4c772787a856bd28","1-1238da2839a3f0a9f71a51e4449a3e44cd23522ea3c557faeb33675cf4a06453","Other Government Agency","TBD","","","","","","","","","2018","TBD","2018-05","2018-05","1","747","TBD","false","","0-b74610761ce17989e7a8fa3a89e49847192d12f189cadf974688b7e37bb5c4f1","root.record.ItemExhibitList.P5Item"
"EWPMT Services","","","","","","","1","","","","","","","","","0.438","","","","","","","","","","","438","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","d5240ff4c7e79de7e15416cf9377c2be2f6ae02e5a70527e4c772787a856bd28","2-2907ee38eff3b6eaab649c1a22597e40787183df54500258e596ad30ab29b30a","MTEQ","TBD","","","","","","","","","2018","TBD","2018-01","2018-05","1","438","TBD","false","","0-b74610761ce17989e7a8fa3a89e49847192d12f189cadf974688b7e37bb5c4f1","root.record.ItemExhibitList.P5Item"
"Prophet Services","","","","","","","1","3","","","","","","","","0.5","1.75","","","","","","","","","","500","583.333","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","d5240ff4c7e79de7e15416cf9377c2be2f6ae02e5a70527e4c772787a856bd28","3-f09ddf38275300fb932c4feeed9086d792f0c6ab62eb16b9454ab57052883330","General Dynamics","TBD","","","","","","","","","2018","TBD","2018-01","2018-05","1","500","TBD","false","3","0-b74610761ce17989e7a8fa3a89e49847192d12f189cadf974688b7e37bb5c4f1","root.record.ItemExhibitList.P5Item"
"Joint Personal Dosimeters Fielding - Congressional Add","","","","","","","","","","","","","","","","","","0.975","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","9e60e79ba1ae0f03dc4573bc427ee2381bb5300bde03e743671af87f42b33021","0-782d3d94dfb7d0f1220c06c67b603594aaa26964754ef11b9883d5d60745aa39","","","","","","","","","","","","","","","","","","","","1-fd31f5f47cec0d3e402d6eba2b305c35024a631eb81bcf91eecd8897a669d888","root.record.ItemExhibitList.P5Item"
"Fielding Labor for CBRN Robotics","","","","","","","","","","","","","","","","","","2.934","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","9e60e79ba1ae0f03dc4573bc427ee2381bb5300bde03e743671af87f42b33021","0-50db474104b83ace97f28d254394a2ac81d1bc1584502042d9d7b12aaaf07952","","","","","","","","","","","","","","","","","","","","2-faf5ee0c371cbbd3fe809195c3107f912e850daeabf3f46b57808d7b43f652b4","root.record.ItemExhibitList.P5Item"
"Fielding for PINS Integration","","","","","","","","","","","","","","","","","","0.75","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","9e60e79ba1ae0f03dc4573bc427ee2381bb5300bde03e743671af87f42b33021","1-299d18d34622db0c808112750b7014106d57ff7725e86dc4023a2dc957f7aea9","","","","","","","","","","","","","","","","","","","","2-faf5ee0c371cbbd3fe809195c3107f912e850daeabf3f46b57808d7b43f652b4","root.record.ItemExhibitList.P5Item"
"Fielding for RAZOR Integration","","","","","","","","","","","","","","","","","","0.75","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","9e60e79ba1ae0f03dc4573bc427ee2381bb5300bde03e743671af87f42b33021","2-c0b771989f25e52529b1ccb2f88bd97e82040fbe1297e5ba28a001ae394eac09","","","","","","","","","","","","","","","","","","","","2-faf5ee0c371cbbd3fe809195c3107f912e850daeabf3f46b57808d7b43f652b4","root.record.ItemExhibitList.P5Item"
"Fielding for HAPSITE Integration","","","","","","","","","","","","","","","","","","0.75","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","9e60e79ba1ae0f03dc4573bc427ee2381bb5300bde03e743671af87f42b33021","3-fe920c2639d560d10597fb8745f07913f171f76cd67808aef513171803d20472","","","","","","","","","","","","","","","","","","","","2-faf5ee0c371cbbd3fe809195c3107f912e850daeabf3f46b57808d7b43f652b4","root.record.ItemExhibitList.P5Item"
"JUONS CC-0557 FOB Integration to IBD-K","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","9e60e79ba1ae0f03dc4573bc427ee2381bb5300bde03e743671af87f42b33021","4-03c761b037f6d66f7e2da6618fbd7c6d09c4afeeb402805e74a7a2d4f17599c5","","","","","","","","","","","","","","","","","","","","2-faf5ee0c371cbbd3fe809195c3107f912e850daeabf3f46b57808d7b43f652b4","root.record.ItemExhibitList.P5Item"
"PDR-75A Fielding","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","9e60e79ba1ae0f03dc4573bc427ee2381bb5300bde03e743671af87f42b33021","0-e91aa4110601b121158aaf7544199510564c6d5f1b96d6655a03ac3d9a2619e2","","","","","","","","","","","","","","","","","","","","3-0336cdc08c131b93cb853f47026e9f1afb97742031617d024879998b29d707d0","root.record.ItemExhibitList.P5Item"
"Fielding Cost RDS","","","","","","","","","","","","","","","","","","1.189","0.23","0.23","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","9e60e79ba1ae0f03dc4573bc427ee2381bb5300bde03e743671af87f42b33021","0-3188d81c0fa2ebd1536da2995eaf78e005d26fd07fd24059be2df160c6a547a7","","","","","","","","","","","","","","","","","","","","4-d356df4b9bc92b31a31a20e163651bca062795234ec02dd0b4153f9bacc80776","root.record.ItemExhibitList.P5Item"
"Fielding Cost JPD-I","","","","","","","","","","","","","","","","","","","0.15","0.161","","","","","","0.011","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","9e60e79ba1ae0f03dc4573bc427ee2381bb5300bde03e743671af87f42b33021","1-c2aa189ba4e0f5ee82a37a6b3078b7832a779c90dfb13c6c7f054f8eaf7a9413","","","","","","","","","","","","","","","","","","","","4-d356df4b9bc92b31a31a20e163651bca062795234ec02dd0b4153f9bacc80776","root.record.ItemExhibitList.P5Item"
"MMPRDS - Fielding Cost","","","","","","","","","","","","","","","","0","0","0","0.5","0.5","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.xml","ee3b390273c3732dc8c8d8627dc9827ef32489658bc1471501a8c83b5c0ce303","0-93ae09fd7df0cb626c75f6af033aa37a80bf4b0c9147b8dac9698bc83f11d097","","","","","","","","","","","","","","","","","","","","4-f76276c4d75f10d29693238671a909566b097ee1bd2067bf82215c00dea1708b","root.record.ItemExhibitList.P5Item"
"RDS Fielding","","","","","","","","","","","","","","","","0","0","0","0.207","0.207","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.xml","ee3b390273c3732dc8c8d8627dc9827ef32489658bc1471501a8c83b5c0ce303","0-2b0531359a6d63cb4fb30f838e0dcc3579d14e1d9e819c342e9525dbe2835c20","","","","","","","","","","","","","","","","","","","","5-6c31c1c7fa4655833762c984e857a580868851474a6613f61bedf2e4087f0acb","root.record.ItemExhibitList.P5Item"
"NGDS 1 - Initial Training","","","","","","","","","","","","","","","","0.691","0","0.735","0.045","0.045","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.xml","ee3b390273c3732dc8c8d8627dc9827ef32489658bc1471501a8c83b5c0ce303","0-3c9664db09a05011b37cd737657455ccfcd848de23c6c67f26d3d3cb7278d0e1","","","","","","","","","","","","","","","","","","","","14-a83ef9372cac104cd6a9a3629d92e5e649e4aaae9c1eda831ec7fc37564c6262","root.record.ItemExhibitList.P5Item"
"NGDS 1 - Fielding Expense","","","","","","","","","","","","","","","","0.534","0","0.534","0.149","0.149","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.xml","ee3b390273c3732dc8c8d8627dc9827ef32489658bc1471501a8c83b5c0ce303","1-15498e2ee6779f8c0c4a9896b843791e2d12264c9e10c509c63ee8e2c3798714","","","","","","","","","","","","","","","","","","","","14-a83ef9372cac104cd6a9a3629d92e5e649e4aaae9c1eda831ec7fc37564c6262","root.record.ItemExhibitList.P5Item"
"NGDS 2 Man Portable Diagnostic System (MPDS) TPF","","","","","","","","","","","","","","","","0","0","0","1.099","1.099","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.xml","ee3b390273c3732dc8c8d8627dc9827ef32489658bc1471501a8c83b5c0ce303","2-ac6d9454f916f64f7d8150f49d5695ec998b71ef29303dd32e5567804c6ff772","","","","","","","","","","","","","","","","","","","","14-a83ef9372cac104cd6a9a3629d92e5e649e4aaae9c1eda831ec7fc37564c6262","root.record.ItemExhibitList.P5Item"
"Total Package Fielding","","","","","","","","","","","","","","","","0","0","0","0.8","0.8","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_CBDP-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2020.xml","0ab97baf3d84379efa13e4450244c73eaad3cc18adf56139d9d0a4d90c700d57","0-f0496a518e6e3bad05bb6c4221ea6f046530d4f9680664de95f9a1295aa5abaf","","","","","","","","","","","","","","","","","","","","9-b1459e780312f0c56f4dcb7478982622994d3d660450c43a65d4e9350e6cbe17","root.record.ItemExhibitList.P5Item"
"MMPRDS - Fielding Cost","","","","","","","","","","","","","","","","0","0","0","0.5","0.5","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.xml","7a7dd878020bfdb0e8786a12a750b2c107fa9e0ce6bc39d466d481d7444dbad9","0-72e6bfef1cf323e1a54a473012ebe2f1098fc7cfa2f6d5313bacad27a4532110","","","","","","","","","","","","","","","","","","","","4-9eee845118ab46dc284b3d14452836f9c2bd90b4080e8c1509c798ae6e23f481","root.record.ItemExhibitList.P5Item"
"RDS Fielding","","","","","","","","","","","","","","","","0","0","0","0.207","0.207","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.xml","7a7dd878020bfdb0e8786a12a750b2c107fa9e0ce6bc39d466d481d7444dbad9","0-05cb3636d239ae22c5edb7c2012c8e0f548f6195eda47cc7c15781cdecf686ee","","","","","","","","","","","","","","","","","","","","5-8da16f92f7a5445510a5f909d1eec7f16647c526d53867eb7ed38271d1950dd3","root.record.ItemExhibitList.P5Item"
"NGDS 1 - Initial Training","","","","","","","","","","","","","","","","0.691","0","0.735","0.045","0.045","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.xml","7a7dd878020bfdb0e8786a12a750b2c107fa9e0ce6bc39d466d481d7444dbad9","0-661ff6bc6a7dd431e7f987b156df7019e589b05c41e44c342b2fd55bf7487c63","","","","","","","","","","","","","","","","","","","","14-0fde7da86fac2800ea869a9e351af9a24132dd241ef0730dc42c7018ec674c59","root.record.ItemExhibitList.P5Item"
"NGDS 1 - Fielding Expense","","","","","","","","","","","","","","","","0.534","0","0.534","0.149","0.149","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.xml","7a7dd878020bfdb0e8786a12a750b2c107fa9e0ce6bc39d466d481d7444dbad9","1-947045d711efa3317774c174d694c48527d84e6dd9fcdc6f40a6b82d7832bbc2","","","","","","","","","","","","","","","","","","","","14-0fde7da86fac2800ea869a9e351af9a24132dd241ef0730dc42c7018ec674c59","root.record.ItemExhibitList.P5Item"
"NGDS 2 Man Portable Diagnostic System (MPDS) TPF","","","","","","","","","","","","","","","","0","0","0","1.099","1.099","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2020.xml","7a7dd878020bfdb0e8786a12a750b2c107fa9e0ce6bc39d466d481d7444dbad9","2-53f530b1dd477539fbff7d6b662dc9cf1b581af848c61c0148c3ff209ea50a44","","","","","","","","","","","","","","","","","","","","14-0fde7da86fac2800ea869a9e351af9a24132dd241ef0730dc42c7018ec674c59","root.record.ItemExhibitList.P5Item"
