@projectCategoryName,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Number_val,Title_val,EndItemSupportedModel_val,CostElementList_Construction_PriorYear_TotalCost_val,CostElementList_Construction_CurrentYear_TotalCost_val,CostElementList_Construction_BudgetYearOneBase_TotalCost_val,CostElementList_Construction_BudgetYearOneOCO_TotalCost_val,CostElementList_Construction_BudgetYearOne_TotalCost_val,CostElementList_Equipment_PriorYear_TotalCost_val,CostElementList_Equipment_CurrentYear_TotalCost_val,CostElementList_Equipment_BudgetYearOneBase_TotalCost_val,CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val,CostElementList_Equipment_BudgetYearOne_TotalCost_val,CostElementList_EquipmentInstallation_PriorYear_TotalCost_val,CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val,CostElementList_ContractorSupport_PriorYear_TotalCost_val,CostElementList_ContractorSupport_CurrentYear_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val,CostElementList_Other_BudgetYearOneBase_TotalCost_val,CostElementList_Other_BudgetYearOneOCO_TotalCost_val,CostElementList_Other_BudgetYearOne_TotalCost_val,CostElementList_Other_PriorYear_TotalCost_val,CostElementList_Other_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneBase_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOneBase_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_CurrentYear_TotalCost_val,MilestoneList_FinalDesignComplete_val,MilestoneList_InitialProjectAward_val,MilestoneList_FinalProjectAward_val,MilestoneList_EquipmentInstallationComplete_val,MilestoneList_ConstructionComplete_val,MilestoneList_ProveOutBegins_val,MilestoneList_ProveOutComplete_val,MilestoneList_ConceptDesignComplete_val,NarrativeExplanation_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Production Support","","","0.697","0.697","","5133579","Holston Landfill Expansion (Design)","Research & Development Expl(RDX), High Melt Expl(HMX), Insensitive Mun(IM)","","","","","","","","","","","","","","","","","","","","","","","","","","0.697","0.000","0.697","","","","","","","","","","","2013-03","2013-03","2013-03","","","","","","FY 2013 Base procurement dollars in the amount of $0.697 million support design of expanding the existing landfill site at Holston Army Ammunition Plant (AAP).  Due to extensive disposal and demolition efforts at Holston AAP, the current landfill site will meet its full capacity by Fiscal Year 2017 if the landfill area is not expanded.  In addition, the landfill is required to comply with state environmental regulations for the disposal of coal combustion residues and non-hazardous materials.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","8-2ac694d69d0e207601139f9da9eb4ecd16701f0465fc8b209abc08be7bb3766e","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","13","","","","5123626","Fresh Air System/Industrial Hygiene Improvements","Research & Development Expl(RDX), High Melt Expl(HMX), Insensitive Mun(IM)","","6.191","","","","","1.965","","","","","3.512","","","","","1.332","","","","","","","","","","","","","","","","","","","","","","2012-09","2012-03","2012-03","2014-02","2014-02","2014-02","2014-02","","Procurement dollars in the amount of $13.000 million support improvements to the quality of work environment in Holston Army Ammunition Plant's manufacturing area.  This effort will replace non-functional air handlers, install vent fans and fresh air systems, and enclose and install climate-controlled areas for operators in production buildings.  This project will reduce exposure to high heat environments and provide ventilation systems to mitigate industrial hygiene issues related to vapors such as Trinitrotoluene (TNT) or Dinitroanisole (DNAN).  This project will improve critical work environment conditions at the plant.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","9-a02038e2d571a85eae6fbbdb47c916f4b6fc8a00b9223696cc528c75c7958878","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","0.537","0.537","","5133581","National Emission Standards for Hazardous Air Pollutants (NESHAP) Requirements","Research & Development Explosives (RDX)/High Melt Explosives (HMX), IM","","","","","","","","","","","","","","","","","","","","","","","","","","0.537","0.000","0.537","","","","","","","","","","","2014-04","2013-04","2013-04","","","","","","FY 2013 Base procurement dollars in the amount of $0.537 million support the identification, selection and design of future pollution controls for the coal-fired steam plant at Holston Army Ammunition Plant (AAP).  The Environmental Protection Agency (EPA) has amended its current emission standards, adding new regulated substances to the list of emissions that must be controlled.  The effort will ensure Holston AAP complies with EPA regulations.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","10-ae067a890cc22805b5cb8e5d163318d66ad0255e668f7ba95ac159cc51c6a82e","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","1.959","","","","","5113211","Control System Upgrade, Hexamine Facility","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","","","","","","0.993","","","","","0.903","","","","","0.063","","","","","","","","","","","","","","","","","","","","","","","2012-02","2011-08","2011-08","2013-05","","2013-06","2013-07","","Procurement dollars in the amount of $1.959 million support the upgrade and replacement of obsolete control equipment for hexamine production at Holston Army Ammunition Plant (AAP).  The Hexamine/Acetic Acid solution is a raw material ingredient for RDX and HMX explosives.  Due to the age of the existing facility equipment, the control system suffers parts obsolescence and a risk of injury to the operator.  The modernized facility will improve weighing, metering, batch sequences, standardized formulas and temperature controls, which will be integrated into the plant wide control system.  Modern instrumentation and control systems will ensure consistent formulation of hexamine/acetic acid solutions.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","11-856f2c7a45e74e6f9cb55d823aad554c61057ff159814c0e03d7d106102e7f5b","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","6.552","","","","","5113239","Modernization of Acetic Acid Recovery Facilities","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","","","","","","2.181","","","","","4.364","","","","","0.007","","","","","","","","","","","","","","","","","","","","","","","2011-02","2011-09","2011-09","2013-09","","2013-09","2013-12","","Procurement dollars in the amount of $6.552 million support the modernization of the acetic acid recovery facility at Holston Army Ammunition Plant (AAP).  This facility is used to recover weak acid generated by explosives production processes.  The current acid recovery equipment and system has exceeded its useful life and is challenged by technology and part obsolescence issues.  Without an effective acid recovery system, Holston AAP is subject to system fails, production shut downs, safety and environmental risks.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","12-58229f2fb339e7aa17e15b7c133fa1fc79701c97ff486427746ba64440a3a7f6","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","0.359","","","","","5113294","Solvent Recovery/Chilled Water - Agile Manufacturing","Research & Development Explosives (RDX)","","","","","","","","","","","","","","","","","","","","","0.359","","","","","","","","","","","","","","","","","","2012-04","2012-01","2012-01","2013-12","2013-09","2014-01","2014-03","","Procurement dollars in the amount of $0.359 million support the upgrades to the solvent recovery at the Agile Manufacturing Facility at Holston Army Ammunition Plant.  These improvements will eliminate the release of solvent into the wastewater stream during Ultra-Fine Research and Development Explosive (UF-RDX) production.  This effort will also enhance the installation's ability to comply with environmental regulations, specifically the Resource Conservation and Recovery Act (RCRA).","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","13-ab8248112af7fb9860c0dc21ca02419fc5a8e77345714a293e0ee325ff73f24a","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","2.142","","24.281","24.281","","5XX3528","Insensitive Munitions (IM) Explosive Ingredients Manufacturing","IMX-101, IMX-104","","","9.499","0.000","9.499","","","9.307","0.000","9.307","","","3.305","0.000","3.305","","","1.728","0.000","1.728","","0.442","0.000","0.442","","","","","2.142","","","","","","","","","","2012-12","2013-03","2013-03","2015-03","2014-03","2015-03","2015-06","","FY 2013 Base procurement dollars in the amount of $24.281 million support the procurement and installation of an Insensitive Munitions (IM) Ingredients manufacturing facility at Holston Army Ammunition Plant (AAP).  This facility will provide sufficient production capacity to meet future requirements of IMX-101 and IMX-104.  Holston AAP currently does not have capability to meet the new IM production requirements.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","14-cf8ac297715f12f91cc5c8b4c5b99e69ae30bcaf73a1ed93cb9802b8421905de","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","3.547","","","","","5113663","Acidic Pipe Line Modernization Upgrades","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","0.566","","","","","2.241","","","","","0.655","","","","","0.085","","","","","","","","","","","","","","","","","","","","","","","2012-02","2011-11","2011-11","2012-04","2012-04","0212-04","2012-06","","Procurement dollars in the amount of $3.547 million support the installation of a new pipeline for the 503/504 pipeline that supports production of RDX and HMX explosives at Holston Army Ammunition Plant.  This project reduces maintenance and operational costs due to legacy pipeline system which has exceeded its life span.  A portion of this legacy pipeline system required relocation due to the safety requirements of construction permits related to an ongoing modernization effort at Holston AAP.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","15-0fa72e437dfdd738d552df0973902dff07b4b304943142587aa2ca72cb21207e","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","0.386","","","","","5113674","B-11 Tank Farm & Infrastructure","DNAN, HMX, NTO, RDX","","","","","","0.303","","","","","","","","","","0.083","","","","","","","","","","","","","","","","","","","","","","","2011-11","2011-10","2011-10","2011-11","2011-11","2011-11","2011-11","","Procurement dollars in the amount of $0.386 million support the activation and repair of the B-11 Tank Farm and infrastructure to support Ammonium Nitrate Solution (AnSOL) storage at Holston Army Ammunition Plant.  This effort is required to avoid interruption of explosives production.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","16-8c3778e0d4d1b3b6b9645116e44bd8277b060cde60796e6504ccab4c87f3f4fe","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","63.34","","","","","5113964","Modernize & Consolidate Acid Facilities","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","5.067","","","","","22.169","","","","","31.297","","","","","3.636","","","","","1.171","","","","","","","","","","","","","","","","","","2012-03","2011-07","2011-07","2013-09","2012-09","2013-09","2014-03","","Procurement dollars in the amount of $63.340 million support the final phase to complete relocating the Area A Acids Facility (Acetic Acid and Anhydrous Acid operation) to Area B at Holston Army Ammunition Plant.  This phase will complete the installation of the process equipment and perform prove out.  This project eliminates unnecessary costs and operating inefficiencies, improves energy and operation security requirements.  It also reduces safety and environmental risks by eliminating the requirement to transport acetic acid and acetic anhydrite seven miles through residence areas.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","17-7058debec9efbc531d37f710e63ad816256d1989e948903646e294791d71a550","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","3.105","","","","5123163","Fire Alarm System & Deluge System Upgrades","Research & Development Explosives (RDX)/High Melt Explosives","","1.189","","","","","1.03","","","","","0.205","","","","","0.255","","","","","","","","","","","","","0.426","","","","","","","","","2013-09","2012-03","2012-03","2014-07","2014-07","2014-07","2015-02","","Procurement dollars in the amount of $3.105 million support the design and installation of new alarm and deluge systems in production and service support buildings at Holston Army Ammunition Plant.  The existing alarm systems do not comply with safety standards, operate with obsolete equipment and lack automated notification.  The current fire alarm system poses a safety risk to personnel and loss of government property.  This project will provide for timely notification of fire emergencies in the operating and production support buildings, improve personnel safety and reduce the risk of property damage.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","18-23d4c5332861ccd0c0fb1c77a9bcf5cd02f96d1dcad6e74f60a9cfbb8d90f12f","0-788effec7e62ef25b21825ba43c96cb0d9b69c1bf5af90e8c40252a7d826356c","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","2.019","","","","5123352","Replace Electrical Services, Line 2","102mm & 105mm Tank Ammunition","","1.883","","","","","","","","","","","","","","","0.136","","","","","","","","","","","","","","","","","","","","","","","2012-03","2012-03","","2013-12","","","","Procurement dollars in the amount of $2.019 million support modernization upgrades to electrical services on Line 2 at Iowa Army Ammunition Plant.  This project will eliminate safety hazards associated with the existing services lines.  Effort will also satisfy federal and local electrical code compliance standards and provide adequate electrical services to meet full production capacity.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-e432509f80c206d0c47a5578324c26bd0902fd6e13e595f13aa8b3afb65d8e56","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","7.428","","","","5123393","Primary Electrical Distribution System Upgrade","155mm Artillery, 120mm Tank, Modular Artillery Charge System (MACS)","","6.936","","","","","","","","","","","","","","","0.492","","","","","","","","","","","","","","","","","","","","","","","2012-03","2012-03","","2013-12","","","","Procurement dollars in the amount of $7.428 million support modernization upgrades to the current primary electrical distribution system at Iowa Army Ammunition Plant.  Power outages and fluctuations generate surges that damage computer-controlled machinery on production and support equipment.  The existing primary electrical system requires frequent repairs and poses safety hazards to operational and maintenance personnel.  This project will provide continued, uninterruptable electrical service throughout the installation.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","1-7b16fa052ebd06fd4d89b7279465e4df2266c37705d1e5a865ea54e9fcc47f8c","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","3.214","","","","","5113470","Roof Replacement, Production Buildings","105/155mm Artillery, 120mm Tank, Modular Artillery Charge System (MACS)","3.004","","","","","","","","","","","","","","","0.21","","","","","","","","","","","","","","","","","","","","","","","2010-11","2011-03","2011-03","","2012-03","","","","Procurement dollars in the amount of $3.214 million support rehabilitation and replacement of roofs on production buildings at Iowa Army Ammunition Plant.  Project also includes inspection of all roofs on active production buildings.  This project will protect modernized equipment and improve personnel safety in production areas.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","2-13f4fe1326a65e521966593926328543495e2052957b7849ffe46a6f5c829ed6","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","4.01","","","","","5113527","Rail System Upgrade","120mm Tank, 105/155mm Artillery, Modular Artillery Charge System (MACS)","","","","","","2.121","","","","","1.503","","","","","0.232","","","","","","","","","","","","","0.154","","","","","","","","","","2010-12","2011-03","2011-03","2012-12","","","","","Procurement dollars in the amount of $4.010 million support upgrades to the aging and failing rail system at Iowa Army Ammunition Plant.  Modernization upgrades will include the east running track, north running track and tracks 1 through 5 to Yard F.  Additionally, effort includes drainage work, ties, ballast and rail replacement.  Rail system upgrades are required in order to prevent accidents involving derailment and potential overturning of explosive laden rail cars.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","3-709cb135061143b9321bf915c25eca45ff0d1e37b0ac61b2530e6b023fc514d0","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","2.386","","","","","5113537","Replace Line 1 Water Distribution System","40mm, Family of Scatterable Mines (FASCAM)","2.228","","","","","","","","","","","","","","","0.114","","","","","","","","","","","","","0.044","","","","","","","","","","2011-03","2011-03","2011-03","","2012-09","","","","Procurement dollars in the amount of $2.386 million support the replacement of Line 1 water distribution system at Iowa Army Ammunition Plant.  The existing water distribution system is nearly 70 years old and experiences frequent water line failures.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","4-be4365af80e3bfcb5a1721b2e6b0e12a79af83190100694f81ea02faf6c1777a","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","5.346","5.346","","5133573","Natural Gas Service, Main Heat Plant & Boiler, Building 1-62","105mm/155mm Artillery, Primers, Tank Ammunition, FASCAM","","","2.9","0.000","2.9","","","1.127","0.000","1.127","","","0.491","0.000","0.491","","","0.201","0.000","0.201","","","","","","0.627","0.000","0.627","","","","","","","","","","","","2013-06","2013-06","2015-02","2015-02","","","","FY 2013 Base procurement dollars in the amount of $5.346 million support modernization improvements to the natural gas steam plant at Iowa Army Ammunition Plant.  The auxiliary steam plant provides high pressure steam for process requirements and space heating throughout the installation.  This effort will also modernize the legacy coal handling system for the main coal fired steam plant.  These upgrades will reduce the risk of freeze damage during winter months.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","5-fa675b269e6fcb3befb602366180477255c833572723da0252fc28db6e11ff81","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","9.818","9.818","","5133574","Upgrade Main Heating Plant","105/155mm Artillery, Primers, 120mm Tank Ammunition, FASCAM","","","0.558","0.000","0.558","","","2.603","0.000","2.603","","","5.431","0.000","5.431","","","0.343","0.000","0.343","","","","","","0.883","0.000","0.883","","","","","","","","","","","","2013-05","2013-05","2015-02","2015-02","","","","FY 2013 Base procurement dollars in the amount of $9.818 million support the modernization of the main heating plant at Iowa Army Ammunition Plant.  This project will maintain continuous production of steam for process and space heating. Modernization efforts also include the construction of a natural gas pipeline to support the installation of dual fuel burners at the main heating plant.  These upgrades will allow the heating plant to maintain Environmental Protection Agency and State Department of Environmental Quality emissions compliance.  Additionally, this project will improve operator safety by eliminating the manual process of igniting the coal fired boiler and exposing the operator to a flash flame.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","6-f69b2909c3fa34435bef2bf0482bfac7f14cac7a746c1ea475898704613947b3","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","0.592","","","","","6113664","Exhumation of Flyash","105/155mm Artillery, Tank Ammunition, Modular Artillery Charge System(MACS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.592","","","","","","","","","","","2010-12","2011-12","","","","","","Procurement dollars in the amount of $0.592 million support the exhumation, transportation and disposal from the existing landfill to an off-site municipal landfill to restore Iowa Army Ammunition Plant (AAP) landfill capacity.  The capacity will support ongoing production requirements and allow for emergency disposal of flyash at Iowa AAP.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","7-f1ed4d31ee9b093b580f8af2abca2c618fa18be7ac4687934765a6bba99cc649","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.587","0.562","0.562","","5XX5333","Production Support Equipment Replacement","105mm Artillery, 120mm Tank","","0.538","0.515","0.000","0.515","","","","","","","","","","","","0.049","0.047","0.000","0.047","","","","","","","","","","","","","","","","","","","","2013-05","2013-05","","2014-11","","","","FY 2013 Base procurement dollars in the amount of $0.562 million support this effort to rehabilitate a propellant transfer ramp from building 2-15 (propellant magazine) to building 2-12 (production building) to assure that propellant can be transferred in a safe and efficient manner.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","8-2d436afa7ca7d1cd56efd71f0133c116a9bfae1e94af2f24e3bf52ee3cec5f1d","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","1.39","","","","","5113538","Replace Lightning Protection System; Lines 1, 2, 3 & 3A","Composition B, Trinitrotoluene (TNT)","1.324","","","","","","","","","","","","","","","0.066","","","","","","","","","","","","","","","","","","","","","","","2011-03","2011-03","2011-03","","2012-10","","","","Procurement dollars in the amount of $1.390 million support the installation of new lightning protection systems on production buildings for Lines 1, 2 and 3 at Iowa Army Ammunition Plant.  The existing lightning protection systems do not comply with Army Regulation (AR) 385-64. The production buildings store hazardous materials causing a safety risk during load, assemble and pack (LAP) operations.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","9-ab2e836267e5a4d07200891ebf5c06ed87f49d1996169401cf3f236c11f9b851","1-ff9b1860b429ac9f384d9d24a2a0e59af011b73585d4d115490309c53394fdaa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","0.551","","","","","5113168","Structural Evaluation, Production Buildings 1, 2, & 3","5.56mm, 7.62mm, .50 Cal, 20mm, Small / Medium Cal. Links","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.551","","","","","","","","","","2011-09","2011-07","2011-07","","","","","","Procurement dollars in the amount of $0.551 million support the structural evaluation of production buildings at Lake City Army Ammunition Plant.  Effort includes evaluation of floor loading, column loading, roof loading, and ability to sustain a catastrophic event.  Due to the age of the buildings, sections of the concrete mezzanine have fallen down on the first floor, placing personnel and equipment at risk of injury and damage.  These buildings are mission essential to the operation of the plant.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","0-7cc097a342e05b774279310ac0eaa5d0bd6cd6731bdcde204c85b0d3b58644aa","2-ba0fe4e60d66ef23a8121ec570c8b83c1136129c5319827c0a83ebb9a931b9fa","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","36.293","36.293","","5133652","Install Heating, Ventilation, and Air Conditioning (HVAC) System - Bldg 3",".50 Cal, 20mm, 7.62mm","","","0.642","0.000","0.642","","","30.156","0.000","30.156","","","4.937","0.000","4.937","","","0.558","0.000","0.558","","","","","","","","","","","","","","","","","","","","2012-12","2012-12","2015-09","2015-09","2015-11","2015-11","","FY 2013 Base procurement dollars in the amount of $36.293 million support modernization and installation of a new heating, ventilation and air conditioning system in Building 3 at Lake City Army Ammunition Plant (AAP).  This project will improve the quality of work environment at Lake City AAP.","2013-BASE_PROCUREMENT-2013-ARMY_AMMO-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","d86559710e8c90c1e40903820e6d04df5c8421478caaf1c5036a9d6ba74875f8","1-49143e7abb114d8628dde4fc66678499fe793d21a9427825241d2fc9b72d2bee","2-ba0fe4e60d66ef23a8121ec570c8b83c1136129c5319827c0a83ebb9a931b9fa","root.record.FacilityList.ProductionSupportFacility"
