Name_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"GPS IIF Propellants","","","","","","","","","","","","","","","","","","","","0.044","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","af8e8d4383faa4fbc3552ff3eea291d85f92754b1c92d62022926614ca3222bd","2-d980f76296eb7c2facf6a7a78d5933e0f2dda1615acd3fe0727ac4d1e2be0e43","0-4cbcef884a2f6c1a578aaae00b1460b5e77af95d15802f9afa264ba986861783","root.record.ItemExhibitList.P5Item"
"GPS IIF GSA Vehicles","","","","","","","","","","","","","","","","","","","","0.025","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","af8e8d4383faa4fbc3552ff3eea291d85f92754b1c92d62022926614ca3222bd","3-ccb53a0149f8412c13a2a86f1ed2de6411c2aaeb2a232f453e85b0ab002efd32","0-4cbcef884a2f6c1a578aaae00b1460b5e77af95d15802f9afa264ba986861783","root.record.ItemExhibitList.P5Item"
"GPS IIF Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","1.3","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","af8e8d4383faa4fbc3552ff3eea291d85f92754b1c92d62022926614ca3222bd","4-4ff985faa0052914b5bdeec560c55c2550420a3583a2331cb4f11b9b813fe5d0","0-4cbcef884a2f6c1a578aaae00b1460b5e77af95d15802f9afa264ba986861783","root.record.ItemExhibitList.P5Item"
"GPS IIF Enterprise SE&I","","","","","","","","","","","","","","","","","","","","1.03","1.136","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","af8e8d4383faa4fbc3552ff3eea291d85f92754b1c92d62022926614ca3222bd","5-ac9c51d33b7111d890a255167d07b0dd72c4ec918db01ccbc0d6651a6b9860d4","0-4cbcef884a2f6c1a578aaae00b1460b5e77af95d15802f9afa264ba986861783","root.record.ItemExhibitList.P5Item"
"GPS IIF Storage Reactivation & Transport","","","","","","","","","","","","","","","","","","","","3.472","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2018.xml","af8e8d4383faa4fbc3552ff3eea291d85f92754b1c92d62022926614ca3222bd","6-dbd2134be76796892523c03326ea5250deb307e83c5ebbf1aad46f93255a53d7","0-4cbcef884a2f6c1a578aaae00b1460b5e77af95d15802f9afa264ba986861783","root.record.ItemExhibitList.P5Item"
"Government Management","","","","","","","","","","","","","","","","","2.234","","","0.351","","1.911","1.911","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","071f12099ccc693cf1dab66b8c0a0c201f2b64a6d66959d3557f8703efbdeb1d","0-5ff116c0dec299b7af0bc49d059db0ae8dc9965ff3d742b65a21d2ec0953a5b7","0-ea63d3ab2be5a0fad7d8b8056a5e21d02f18b43ef30b9a27acf849ca315274f1","root.record.ItemExhibitList.P5Item"
"Contractor Management","","","","","","","","","","","","","","","","","3.216","","","0.505","","0.8","0.8","","","","","","2018-BASE_PROCUREMENT-2018-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2018.xml","071f12099ccc693cf1dab66b8c0a0c201f2b64a6d66959d3557f8703efbdeb1d","1-362f3791764d101284178493c39e7d897998b1a4db89ede95fe1c7e8ce700a26","0-ea63d3ab2be5a0fad7d8b8056a5e21d02f18b43ef30b9a27acf849ca315274f1","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","","","","40.154","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","ed993553dbb3dca04a1bd01ff5d0475c2177f9415da2b4c01e0cebc8365eef2f","0-9f41b354ab3b52f4ac5654bd7bd150165031789e52241b6f0daa1a658ba825a9","0-d39ce62bcf00074f31b5040124fa19fb0015cbc77ce65fb2fa1123a26a6fa3ca","root.record.ItemExhibitList.P5Item"
"AEHF SV 3-4 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","","","1.394","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","ed993553dbb3dca04a1bd01ff5d0475c2177f9415da2b4c01e0cebc8365eef2f","1-0fd4fc86ccc133f00b96d09a7a23f0da87794dd0e92cb6b6aa5d0e9676eaafe2","0-d39ce62bcf00074f31b5040124fa19fb0015cbc77ce65fb2fa1123a26a6fa3ca","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Propellent","","","","","","","","","","","","","","","","","","","","","7.861","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","ed993553dbb3dca04a1bd01ff5d0475c2177f9415da2b4c01e0cebc8365eef2f","0-b67062acf919ffcf3426b209870b7f5a021a849147f99ab8819bb166b5e8052b","1-8b463a8ae942dfd130ce970915d6e5beb2b4d366a3758d7e13337d3affe5b4a6","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","","","","0.166","0.176","0.176","0.176","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","ed993553dbb3dca04a1bd01ff5d0475c2177f9415da2b4c01e0cebc8365eef2f","1-c26421fc5756e9e0eff1321de2875413a49375122f16467ec929919aacdf40fc","1-8b463a8ae942dfd130ce970915d6e5beb2b4d366a3758d7e13337d3affe5b4a6","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","","","","0.531","0","1.671","1.671","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","ed993553dbb3dca04a1bd01ff5d0475c2177f9415da2b4c01e0cebc8365eef2f","2-6c541e9caa6c7d22edd8b9b95a13c4ad7b645c56742628f067af75d6509a14fb","1-8b463a8ae942dfd130ce970915d6e5beb2b4d366a3758d7e13337d3affe5b4a6","root.record.ItemExhibitList.P5Item"
"Command & Control System-Consolidated (CCS-C) Launch Support AEHF 5-6","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","ed993553dbb3dca04a1bd01ff5d0475c2177f9415da2b4c01e0cebc8365eef2f","3-5dec164d70de84d5176543c001c16908207eabe2e62325b15d8705ebdce8e24e","1-8b463a8ae942dfd130ce970915d6e5beb2b4d366a3758d7e13337d3affe5b4a6","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","","","0","1.685","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","ed993553dbb3dca04a1bd01ff5d0475c2177f9415da2b4c01e0cebc8365eef2f","4-3b2d89ec4eef69dffad8a17e6ca285c357bf9a928db9d6d162aea46095480c6f","1-8b463a8ae942dfd130ce970915d6e5beb2b4d366a3758d7e13337d3affe5b4a6","root.record.ItemExhibitList.P5Item"
"GPS IIF Enterprise SE&I","","","","","","","","","","","","","","","","","","","","1.136","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","2b34bd0581ce854fa51ff583019ca623feecd5e0c10c320caf1ad77c303094b1","0-7f2ee1079a6e40c20c7c8002b35b779de300a42fb018523c07a830119ddbc6d6","0-cb1a94942a31852a3bd63dd8b464dd3da766fb969d64035f7b0ad763940c0891","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","19.238","","","57.682","14.587","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","69f5d537ee02fe3841147f7d8dc4885ccab93abdd3905985c9061680464c3c83","0-1b6bfee7de3b9086e51653e5ebc169bf5c7bdf31874cef0d0392de58da73db93","0-e028a72cb3ac82d9195111fc451e9beb46ceac0aa44fa2afebe454d8b87443b9","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","22","","","22","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","69f5d537ee02fe3841147f7d8dc4885ccab93abdd3905985c9061680464c3c83","1-77ff73ea0046df34bf99b2de22270102f74be00f8b9130a6037f563eaddd6460","0-e028a72cb3ac82d9195111fc451e9beb46ceac0aa44fa2afebe454d8b87443b9","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","","","","","","","","","","","","","","","","","0.5","","","0","290.085","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","69f5d537ee02fe3841147f7d8dc4885ccab93abdd3905985c9061680464c3c83","0-e878194730945758a950f73570311f23f8449c676f22514ff4c29cd07c264e5d","1-5ac30424c93394818395776fbb568e32157ccb559d3eba46b88cd40c5fded775","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","","","","","25","25","25","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","69f5d537ee02fe3841147f7d8dc4885ccab93abdd3905985c9061680464c3c83","1-fae0c8eb640cd2ba12c129d27ab3bd165b2a01a765a2ad0172df0536a6724c14","1-5ac30424c93394818395776fbb568e32157ccb559d3eba46b88cd40c5fded775","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","","","","","","","","","","","","","","","","","1.021","","","2.468","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","69f5d537ee02fe3841147f7d8dc4885ccab93abdd3905985c9061680464c3c83","0-c0dfdab93e194d911463bb896b35ee9e8d7936c3171f4b8c708a50663efadfe2","3-21b9dae1bc7bc43b1e0ffa977e14b6b136be6d0d42fb0d198203294690369efe","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","9.34","","","18.079","7.499","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","69f5d537ee02fe3841147f7d8dc4885ccab93abdd3905985c9061680464c3c83","1-78887f1195ff8a152be711878aeb31cefa04e8f104a2da26310da4227fe0e3d5","3-21b9dae1bc7bc43b1e0ffa977e14b6b136be6d0d42fb0d198203294690369efe","root.record.ItemExhibitList.P5Item"
"WGS Block II Follow-On Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","","","","12.989","26.878","4.451","4.451","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8adaecd795b4ede70f5bd903460e241967c454d70339f6816be4a5942631122a","0-da3c4b8810f9f6dc96230baff08f3a1db32641fdbe82dfa1d26f7b5ecc3832d6","0-0b75ac65cf1b17bab4b056f36a26e2105c6ca15f1c91dbec4da0bb3cdcc67e87","root.record.ItemExhibitList.P5Item"
"WGS Block II Follow-On Storage, Reactivation and Transport","","","","","","","","","","","","","","","","","","","","17.556","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8adaecd795b4ede70f5bd903460e241967c454d70339f6816be4a5942631122a","1-d800f4a42a061fda4a7ee76d1e63561dea7c47c6b3f52910a427c8f04f68cc6c","0-0b75ac65cf1b17bab4b056f36a26e2105c6ca15f1c91dbec4da0bb3cdcc67e87","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) WGS Block II Follow-On support","","","","","","","","","","","","","","","","","","","","","0.208","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8adaecd795b4ede70f5bd903460e241967c454d70339f6816be4a5942631122a","2-4b91e7566fe82284055fab42ea32f463f2569a7b7447d0abe47491f92d299f77","0-0b75ac65cf1b17bab4b056f36a26e2105c6ca15f1c91dbec4da0bb3cdcc67e87","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","9.142","5.339","4.3","4.3","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8adaecd795b4ede70f5bd903460e241967c454d70339f6816be4a5942631122a","3-be096ddc52c90270c931918e8923df94f19cb52a18a9959991b77bd13e0928d6","0-0b75ac65cf1b17bab4b056f36a26e2105c6ca15f1c91dbec4da0bb3cdcc67e87","root.record.ItemExhibitList.P5Item"
"WGS Enterprise SE&I","","","","","","","","","","","","","","","","","","","","1.872","0.881","0.419","0.419","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","8adaecd795b4ede70f5bd903460e241967c454d70339f6816be4a5942631122a","4-61986cd845f7c45ee2ecec096836067ead0b683b1da26d8dabbf73e71c0f35c9","0-0b75ac65cf1b17bab4b056f36a26e2105c6ca15f1c91dbec4da0bb3cdcc67e87","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Launch Services","","","","","","","","","","","","","","","","","1.9","","","5.2","13.369","24.232","24.232","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","391e62a06dfb2ec016d64bb1077c65537982baed372f82eb2c91e00df94faf2e","0-6a0dad7b762e3b2c1a61c08d543cf239ac08fc77a6e4a11f8f96cede5e69179e","0-77ec390ecbe71dab466a4a47229bdb2d71096536d247002d7c9f8e1486663a2d","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 On-Orbit Incentive","","","","","","","","","","","","","","","","","0","","","0","0","1.5","1.5","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","391e62a06dfb2ec016d64bb1077c65537982baed372f82eb2c91e00df94faf2e","1-f2004ebee38edd690f92ed1a49a881ed1fe080bf2c108419084173a24b366758","0-77ec390ecbe71dab466a4a47229bdb2d71096536d247002d7c9f8e1486663a2d","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Storage and MRT","","","","","","","","","","","","","","","","","0","","","1.2","3.7","6.998","6.998","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2019.xml","391e62a06dfb2ec016d64bb1077c65537982baed372f82eb2c91e00df94faf2e","2-fdc47c90e55519d25a78b641cd0cc7feeaf635a9a571c741f5bee4bcf843bc75","0-77ec390ecbe71dab466a4a47229bdb2d71096536d247002d7c9f8e1486663a2d","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","","","","40.154","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","770867f755d84c763c0b74a40a002f909b38525c5c7879963377f1db55a6c939","0-b393f0d5ae65b16caa08a5eb781297aeb7ee5c67c690a95bd7154282fa3ca853","0-70fc93cf442bfb4bbbc05f1efa9b3b9ca39ec2842b32cbd3ea8e37fc9a91f2f2","root.record.ItemExhibitList.P5Item"
"AEHF SV 3-4 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","","","1.394","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","770867f755d84c763c0b74a40a002f909b38525c5c7879963377f1db55a6c939","1-fd8a7cd021fa56b1f3be040fa35583fcb3171a1c6651c16b3d226d35d8d276b8","0-70fc93cf442bfb4bbbc05f1efa9b3b9ca39ec2842b32cbd3ea8e37fc9a91f2f2","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Propellent","","","","","","","","","","","","","","","","","","","","","7.861","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","770867f755d84c763c0b74a40a002f909b38525c5c7879963377f1db55a6c939","0-8070520c21be7b917b21c2a3c53ee0d358afef0fdf4465cfd67eeedffccc8e03","1-8e487538b853cbb5baf4e42cfad4326155bc9f0f441a269032c08617da0fe08a","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","","","","0.166","0.176","0.176","0.176","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","770867f755d84c763c0b74a40a002f909b38525c5c7879963377f1db55a6c939","1-0afbaf1f83983312ce25be8b2ce6392c039f3dada86a58a0fda6192399de6c99","1-8e487538b853cbb5baf4e42cfad4326155bc9f0f441a269032c08617da0fe08a","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","","","","0.531","0","1.671","1.671","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","770867f755d84c763c0b74a40a002f909b38525c5c7879963377f1db55a6c939","2-6b77c97661f5a86872b42ade73af8d6105ed6865ae5094c0aa6dc6e5570c5d86","1-8e487538b853cbb5baf4e42cfad4326155bc9f0f441a269032c08617da0fe08a","root.record.ItemExhibitList.P5Item"
"Command & Control System-Consolidated (CCS-C) Launch Support AEHF 5-6","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","770867f755d84c763c0b74a40a002f909b38525c5c7879963377f1db55a6c939","3-5378cf74ed9cce2db60b3359711e8664c15d2559bb63a8806175e92c84e7c9c7","1-8e487538b853cbb5baf4e42cfad4326155bc9f0f441a269032c08617da0fe08a","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","","","0","1.685","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","770867f755d84c763c0b74a40a002f909b38525c5c7879963377f1db55a6c939","4-15dac5d8067d7ac8f43059f1982394649d4d901a5a3b993b7bff00c2b0b7d662","1-8e487538b853cbb5baf4e42cfad4326155bc9f0f441a269032c08617da0fe08a","root.record.ItemExhibitList.P5Item"
"GPS IIF Enterprise SE&I","","","","","","","","","","","","","","","","","","","","1.136","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","f134da4a1e6fa5aa098c2cadcfe009e419592620aecc91f48296755d053b51c5","0-20713dd5652b9fde2dbd083362474b95b8b4b3bee3ec1145e8ca36bf3036c0a2","0-d31db1fe8058740da7d0633f47eb4066c1d6514f81de51d8f140502af736fd52","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","19.238","","","57.682","14.587","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","0c71715f409ac85cc53798867fc1f08294b549796ed9b5bd2c1d3370ed828913","0-b455193e3cd8c7f004701d13f5ec3f35442e6d94a5261139f74a8a9c27bd97b8","0-d1be0a7cf687eaa0d20fe9a20d7c8a40b890217f656969f6fc60da8bf11d8056","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","22","","","22","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","0c71715f409ac85cc53798867fc1f08294b549796ed9b5bd2c1d3370ed828913","1-40556a2abe713f3d6b25df04bf6de6802b508787fdea786bed5cfd27ce1dfc7e","0-d1be0a7cf687eaa0d20fe9a20d7c8a40b890217f656969f6fc60da8bf11d8056","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","","","","","","","","","","","","","","","","","0.5","","","0","290.085","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","0c71715f409ac85cc53798867fc1f08294b549796ed9b5bd2c1d3370ed828913","0-7e502f9eaa5c3a6d87839fddd4902a2fbfc2ae4593ecf9c01df556e117508243","1-d0862f2ce6fbb3428dd1e2d91f1df4cb5deab16786a1704f54d0e044b8683cc4","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","","","","","25","25","25","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","0c71715f409ac85cc53798867fc1f08294b549796ed9b5bd2c1d3370ed828913","1-699f5665a9dd543c5f5197395dcc2ee8de01549763ef40e635aa35b094c4fd8b","1-d0862f2ce6fbb3428dd1e2d91f1df4cb5deab16786a1704f54d0e044b8683cc4","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","","","","","","","","","","","","","","","","","1.021","","","2.468","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","0c71715f409ac85cc53798867fc1f08294b549796ed9b5bd2c1d3370ed828913","0-fe262c11445391f23c2bcaff87666548c3e93c5597f975761f67cade996f85fc","3-713f759a77b645010eff8954e1d288485a45c5bbc78fa370bb09bb0a20a7c201","root.record.ItemExhibitList.P5Item"
