Name_val,Name_@footnote,IdCode_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Continuing_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_Total_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_Total_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,ManufacturerList_Manufacturer,@PARENTROWID,@PARENT
"Vaccinia Immune Globulin-Support Costs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.185","0.183","0.183","0.183","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_VOL1_ALL-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Defense-Wide_PB_2019.xml","2541192401cc050c4ea3f3c86663f9efdc92923673cb8bab95460bb869fed504","1-4a99969754c126129c56613fb435e8f1ece3309f35978eb0775bdcd216368c5c","","","8-842f82610639d56ea066585674497e7a25060c07f22f9339e1d819536975a6cd","root.record.ItemExhibitList.P5Item"
"JWARN 2 - System Fielding Support (TPF, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.553","0.502","0.502","0.981","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","5085eb70c564ffdad485465c907a34f6a65177692e3cac6a15b535c8b1e0add9","0-d8bdb147420a9ff5644af672557bd10538b4e176295495221a4697632bada8cb","","","4-11b0baac37a0ddd2dbf97f56d6a77de2d71ac1234d6f2e4f5fc1844ed66f0f1d","root.record.ItemExhibitList.P5Item"
"JEM 2 - System Fielding Support (TFP, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.228","0.557","0.557","0.601","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","5085eb70c564ffdad485465c907a34f6a65177692e3cac6a15b535c8b1e0add9","0-1c40f45853cdf486f8ebea1950e8449493d4ba43267828ee9ad23a28b3e1d45c","","","7-4c84598dd0de7834e256072f62fe2aacdfe50f3e7e5d4d6cc0156f09ba5e4434","root.record.ItemExhibitList.P5Item"
"System Fielding Support (TFP, FDT, NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.601","0.581","0.581","0.588","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","5085eb70c564ffdad485465c907a34f6a65177692e3cac6a15b535c8b1e0add9","0-d6b9debac60868d9fc2e1c9fb9b31b783dae3007aca884fb6525bb506295730b","","","14-534c87acfaec0d4c860f950b6c30a9862a6f867e85d9ae6ae3c1d3ad2b618dec","root.record.ItemExhibitList.P5Item"
"System Fielding Support (Total Package Fielding, First Destination Transportation & New Equipment...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.733","1.809","1.809","2.3","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","71ff273d841e66289e9398df33f1c0ba0686306e7be81e9ef6bb2fb79d4f3944","0-ba05119bf4952a45b831d3099611ff3d43dc0b810af5d5820fe5fc4ae8e503bb","","","1-384707831f8ce1d3ab5afd05e049e3533de1639d7f114262d4a85a97c3293fd4","root.record.ItemExhibitList.P5Item"
"Training / Fielding / CLS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","1.137","1.137","1.115","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","71ff273d841e66289e9398df33f1c0ba0686306e7be81e9ef6bb2fb79d4f3944","0-3666d1a7bcd6778b0a4e53a545b946683406ec247a29fe886acba0a6f19314e6","","","3-d85d6deaa2dcd735844b2a16a889892d23d2000fb17956063cc2cd305c5d68a2","root.record.ItemExhibitList.P5Item"
"Total Package Fielding (spares)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.648","0.75","0.75","0.895","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","71ff273d841e66289e9398df33f1c0ba0686306e7be81e9ef6bb2fb79d4f3944","0-d16acb0965113c9bdc7e4bbc5c67f0d551526c1137a6a5ba3ec62cf061427134","","","4-1b53af76b305925783b5f86b159844e00bd0681f05b2d4f83db0907b2db1e3bf","root.record.ItemExhibitList.P5Item"
"Prior/Future combined efforts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","71ff273d841e66289e9398df33f1c0ba0686306e7be81e9ef6bb2fb79d4f3944","0-bfb496b739cc5763c5e3ec29dedc7f7315f0d0bed50673d74ffb6d107d23805d","","","8-47f76609e52ae2b8a58babf04b63fe7d944758f25b23ea263e72176374fefe74","root.record.ItemExhibitList.P5Item"
"Vaccinia Immune Globulin-Support Costs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.185","0.183","0.183","0.183","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-DEFENSE_CBDP-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Chemical_and_Biological_Defense_Program_PB_2019.xml","71ff273d841e66289e9398df33f1c0ba0686306e7be81e9ef6bb2fb79d4f3944","1-596905e19c97c22690328e5d2e43f029770234b8099551324b53ff9cabb47439","","","8-47f76609e52ae2b8a58babf04b63fe7d944758f25b23ea263e72176374fefe74","root.record.ItemExhibitList.P5Item"
"First Destination Transportation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.439","","","0.095","","","3.648","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","bed04baa3091368274e0191d3fc41c668eedff4f3d96b1abf4c6709423063911","0-e7dd59ce54ba41b45eba3f01d73ace8dca0a47e69299db5c4386af716af5d84b","","","0-d16d01d2c883a475cfeb246bc22b767accd842005012656512a638a34a92fc5d","root.record.ItemExhibitList.P5Item"
"New Equipment Training (NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.714","","","4.984","","","97.719","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_AIRCRAFT-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","bed04baa3091368274e0191d3fc41c668eedff4f3d96b1abf4c6709423063911","1-a68c7b500c7d133b4f49c7fcd71849c939caa3fc032396ad5f82620e4c15b131","","","0-d16d01d2c883a475cfeb246bc22b767accd842005012656512a638a34a92fc5d","root.record.ItemExhibitList.P5Item"
"Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.198","","","","","","","","","3.198","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_MISSLE-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","b9b156086616244d039826da3fb30f3f9db781098687b18b0017111f81518834","0-d121ff0e7942da5e1cca3d5209a5ba30639a458b1326c194c3882f5a2b4c0d7c","","","0-2260a8bf477d8636861f3dfd300514fb1ada319d4a0e4cd563b9bce0a2128011","root.record.ItemExhibitList.P5Item"
"7. Total Package Fielding (TPF)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.61","0.463","0.463","1.066","","","1.956","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_WTCV-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","dab2dc30e3f87a72b4018e19189057431d16689bdf1b427cb35841e85e169990","0-49dae07679b7c659d1245fe931c1e519c730109efc4989ee238855beec498747","","","0-da501e7061cf88e699b78f083a08319c2d8b145694e4c7c6c5266ef6ffde6894","root.record.ItemExhibitList.P5Item"
"Total Package Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55","1.55","1.267","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_WTCV-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","15c1e9bda2f8d846640ded076aa1c782c107fa19741d524bbe4151bc2e577e2c","0-3fdd0005257f14ed7899b82fd726390ee5444ce85734314793753f7a933ea6bc","","","0-d1c4df0177407af61befcc7dadd8829985c7b2799b0eaf9196199f8da0765efc","root.record.ItemExhibitList.P5Item"
"Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.219","0.219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","b50b61381c2d25f2841b4d2bc506dea2c7c990db94f4ba9ddc799a3b12940092","0-fa60de8ec49f977f15983ce54005eaf1f74ba9877f05f37c198fcce27045c8e7","","","0-8f0f99e689d024810effff01264f9cc808a1b5cc91ce2d504d12ea71c15a6ef9","root.record.ItemExhibitList.P5Item"
"Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.179","0.179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","b50b61381c2d25f2841b4d2bc506dea2c7c990db94f4ba9ddc799a3b12940092","1-71e36743c02f14edfb4fdf736468d25bdd7689ce47d5f45ee9ec142162c05cf9","","","0-8f0f99e689d024810effff01264f9cc808a1b5cc91ce2d504d12ea71c15a6ef9","root.record.ItemExhibitList.P5Item"
"Field equipment /conduct New Equip Train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.71","5.469","5.469","7.786","","","102.102","","","","","","","11","1","","","","1","1","1","","","9282","4710","","","","7786","5469","5469","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","16123f19d14714e621f3ad3717eb0a04587382702be0e2b1e9ac91adb50ab769","0-983a1666c2698d1d18f12515a2df59a5015eacc3f4785e99428487aa28abc111","11","0-3f3710849ecc4c94dd5dc751a98c00ae59141d0c6bbc1ddbe319bc0346ff5336","root.record.ItemExhibitList.P5Item"
"ARMY-WIDE CRYPTO NETWORK STANDARDIZATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.825","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","8df46d46ea412afc4b92245e34e3f96bb317fc97351aec00ee84658206ccf982","0-5ddc078508605c02a668553bc386fd6e1ba66d309f5e18e6c3cd9492e6f06abf","","","0-03b21963b2b6fc20ad56eb2e7987c291c426eb510af9843c7e9aeb308a5e0963","root.record.ItemExhibitList.P5Item"
"PRODUCT SUPPORT/FIELDING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.536","8.043","8.043","5.503","","","15.466","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","8df46d46ea412afc4b92245e34e3f96bb317fc97351aec00ee84658206ccf982","1-537f2dd8d057591304505fa8d9aa99832eae27a9048f6ee1d9aa62b287b4cade","","","0-03b21963b2b6fc20ad56eb2e7987c291c426eb510af9843c7e9aeb308a5e0963","root.record.ItemExhibitList.P5Item"
"Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.969","1.009","1.009","0.98","","","4.546","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","8df46d46ea412afc4b92245e34e3f96bb317fc97351aec00ee84658206ccf982","0-8c99c1c3974a93091eb80c10f6267d7a1f3c99914784a958f7af2ec3d4356c94","","","1-5b0a2f50a19c870233e6d2a6d830df157fabd4552cc35180dfeb074771b89e25","root.record.ItemExhibitList.P5Item"
"Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.505","0.35","0.35","0.3","","","2.646","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","4671321b8f3e4cc03ecffe4807bbcf8b078de339874fd9b3f47dcab7db11b318","0-b6490aa8812885b4fd96f6e2a47aa3874dc84e058f53e929653a6852beeb3ec8","","","0-154385d1107c9e6639f69d6f0be55519978cc8383fb9bf1b66b120f669764389","root.record.ItemExhibitList.P5Item"
"Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","0.55","0.55","0.5","","","2.252","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","4671321b8f3e4cc03ecffe4807bbcf8b078de339874fd9b3f47dcab7db11b318","0-ef33c415cd19dc19229c27b6764699cb285ac5e3d83a63a05bce6ae9eec97718","","","1-e6c13a4384dcd0bb6cb8f85f9d6d4b05d6dc79eec5cf04aa3e671daf015ed90b","root.record.ItemExhibitList.P5Item"
"New Equipment Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.14","18.674","18.674","16.8","","","8.66","","","","","","","2","1","","","","1","1","1","","","4330","16140","","","","16800","18674","18674","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","bccab256ad07c458efbf6015255c69b667e6fb84c81c395a9847bc99db6b1514","0-fbdc0f486a2faf7161e6b696c31aecef2b3d3aafc586c933c29ca350fa3878ba","","0-966a517530703d4592e35adf67bdd7cac02eea7f3a74dc66edfb5d14b6c5a315","root.record.ItemExhibitList.P5Item"
"EWTV Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.283","","","","","","","","","","","","","","1","","","","","","","","","","283","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","d5240ff4c7e79de7e15416cf9377c2be2f6ae02e5a70527e4c772787a856bd28","0-6ff2c39b3c560a7998fd335435c0861c1e012a173f31dd7454fb037e200c5f05","","","0-b74610761ce17989e7a8fa3a89e49847192d12f189cadf974688b7e37bb5c4f1","root.record.ItemExhibitList.P5Item"
"VROD/VMAX Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.035","","","","","","","","","","","","","","1","","","","","","","","","","2035","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","d5240ff4c7e79de7e15416cf9377c2be2f6ae02e5a70527e4c772787a856bd28","1-b1de85aea1ad9c349e9aa28aeb96ed446cb34efc9d0ad00922f81237faae950f","","0-b74610761ce17989e7a8fa3a89e49847192d12f189cadf974688b7e37bb5c4f1","root.record.ItemExhibitList.P5Item"
"EWPMT Thick Client Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.445","","","","","","","","","","","","","","1","","","","","","","","","","1445","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","d5240ff4c7e79de7e15416cf9377c2be2f6ae02e5a70527e4c772787a856bd28","2-d7e8a0ccc3c6eafc615b399b8773dce6d0598e4eec6570c8da4df8cd39f2f6d2","","0-b74610761ce17989e7a8fa3a89e49847192d12f189cadf974688b7e37bb5c4f1","root.record.ItemExhibitList.P5Item"
"Initial Spares/Repair Parts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.778","3.032","4.934","0.831","","","2.81","","","","","1.902","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","0f1cf6419b1126f8d2789326e72fd5bc96e1b92613446baa156ec87b5b17bdc0","0-6494ec9d4908ba10865825565b453e241f154d53d1f5c2ad8a0e49f40fdabecd","","","0-17236ad4c5b7c5e5e3411e226456fbf04f92f1f936f5233a73ce67d6399d7ba2","root.record.ItemExhibitList.P5Item"
"New Equipment Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.101","6.183","10.063","2.774","","","0.32","","","","","3.88","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","0f1cf6419b1126f8d2789326e72fd5bc96e1b92613446baa156ec87b5b17bdc0","1-5d893e4fd4a7e64649fc58451f3d28178a7c25b0d5077e63a5d15c26a3f836c0","","","0-17236ad4c5b7c5e5e3411e226456fbf04f92f1f936f5233a73ce67d6399d7ba2","root.record.ItemExhibitList.P5Item"
"Con/Integrated Logistics Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.713","5.291","8.611","8.092","","","0.726","","","","","3.32","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","0f1cf6419b1126f8d2789326e72fd5bc96e1b92613446baa156ec87b5b17bdc0","2-d771332b0935b2c702a128a02cb6a70d3b0a1ed024bf969f8fd64cdef654180b","","","0-17236ad4c5b7c5e5e3411e226456fbf04f92f1f936f5233a73ce67d6399d7ba2","root.record.ItemExhibitList.P5Item"
"Fielding initial support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.612","6.355","10.35","2.568","","","","","","","","3.995","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","0f1cf6419b1126f8d2789326e72fd5bc96e1b92613446baa156ec87b5b17bdc0","3-13fd634a43c251cb27fa8f1114f1a8025d5e2e426b6fba0bfd6279f4ef21e7be","","","0-17236ad4c5b7c5e5e3411e226456fbf04f92f1f936f5233a73ce67d6399d7ba2","root.record.ItemExhibitList.P5Item"
"Initial Spares/Repair Parts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.602","1.602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","0f1cf6419b1126f8d2789326e72fd5bc96e1b92613446baa156ec87b5b17bdc0","0-733da070084e0f1070e8d6f4c4e23cb07d9017cef18fdf074ea1ec9ea8492cbe","","","1-f30abb0937ec42137292775da491fbf15e4c585639d7ee7f2baf6b3e0cdbc237","root.record.ItemExhibitList.P5Item"
"New Equipment Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.267","3.267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","0f1cf6419b1126f8d2789326e72fd5bc96e1b92613446baa156ec87b5b17bdc0","1-d18a2c742ca03b969f597542d47bd05a172994623c4436253fd89c9680a8a11a","","","1-f30abb0937ec42137292775da491fbf15e4c585639d7ee7f2baf6b3e0cdbc237","root.record.ItemExhibitList.P5Item"
"Con/Integrated Logistics Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.796","2.796","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","0f1cf6419b1126f8d2789326e72fd5bc96e1b92613446baa156ec87b5b17bdc0","2-688b0b20cb7543e60a5b625503b8eb699854096546b4cdebb9924b1f4d5539f3","","","1-f30abb0937ec42137292775da491fbf15e4c585639d7ee7f2baf6b3e0cdbc237","root.record.ItemExhibitList.P5Item"
"Fielding Initial Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.371","3.371","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","0f1cf6419b1126f8d2789326e72fd5bc96e1b92613446baa156ec87b5b17bdc0","3-b6f4c96ecd7bbbc9af5a601ba45c1a8c0a66f4db9d6678e404a2481b4170d920","","","1-f30abb0937ec42137292775da491fbf15e4c585639d7ee7f2baf6b3e0cdbc237","root.record.ItemExhibitList.P5Item"
"Talon 5a New Equipment Training (NET)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.025","","","0.125","","","0.005","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-ARMY_OTHER_3-4-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","1a05e6c052670f238a570c84949d069ac4b32e720912ebd2364576ea6567ae5f","0-79cf37d7561e9ee8ed597c6ac44862225be0b6cd275e8f101e2887cc8a1bd878","","","0-d8bcb562dc0337b16f5e5aee6001883a98a98a2fe25e047abf10b805f1e21b33","root.record.ItemExhibitList.P5Item"
