Name_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","26.783","","","26.575","","","","","26.575","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","565120aa1a9e5084c96c8b1368c56d0c25c65048ccf0fca49b7969b420729f9e","0-ef84416106944de09b11932acc12d8dfb576acff4540d1bc15a1e092a51cf7bf","2-e5aa2037ce7d360ff89c3ace34693333b065f6e17b5fc428b8f20c1e03bd6d8d","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0","8.741","1.75","1.75","5.098","3.846","0","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","d304095705f30ab0d722db7f54ceec2f4c962b93f67bb8bb4ca24bb669ef6ca3","0-2d8a4aed6c6a17bc090d2bcc03d3a6eb813f4df748c715e7e77c54a015510622","0-d7944823c3f87114abb208d8ab68c85dca5f9d4d601caeaa6ac0032ba4f99459","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","5.007","4.533","4.533","1.543","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","d304095705f30ab0d722db7f54ceec2f4c962b93f67bb8bb4ca24bb669ef6ca3","1-bc9a8d4d7af46aad843da9a076ea5b9cfe1002cc16c898c149795132f2a34c3f","0-d7944823c3f87114abb208d8ab68c85dca5f9d4d601caeaa6ac0032ba4f99459","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","1.752","1.354","1.354","0.697","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","d304095705f30ab0d722db7f54ceec2f4c962b93f67bb8bb4ca24bb669ef6ca3","2-9f5d61b54a53b558e2b81c6cd6683256e300f8d7ed3d195d4ec68200f75f2416","0-d7944823c3f87114abb208d8ab68c85dca5f9d4d601caeaa6ac0032ba4f99459","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","11","7.935","7.935","7.937","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","d304095705f30ab0d722db7f54ceec2f4c962b93f67bb8bb4ca24bb669ef6ca3","0-b142611dfb446b335ae2b7ccdb7490293e8e7c801ab11179e9074a451c743cee","1-85b85a1ecbea8f51c95ddb3ebfba3052d334257de5764acf0e0f20e3dcb38de5","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","71.729","141.83","112.182","112.182","114.528","111.833","162.992","165.963","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","0e906f23640d1784e52c78acb08e53a3181d84088b3d086d6a2b2098805a10dc","0-13d69843e2dda6e49e2e4c7e4c1a542e7859aa89c5b06ad91ce11c7b5a10892a","0-7f380113c33dcc482bcfe106452eb3942dd970df5c1d3c87a9e1b32c8968c4f3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","15.996","29.4","18.825","18.825","28.291","0.505","0.515","0.559","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","0e906f23640d1784e52c78acb08e53a3181d84088b3d086d6a2b2098805a10dc","0-5292a52daa1dba4074d1103cf941fe6285fd6a30ed793a6088a6da52bf40c659","1-0379091c73e1b8c9f7151a0642c750c218622c57748362dd2367805b8c37de27","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","31.765","32.377","23.633","23.633","23.11","25.96","41.23","60.203","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","0-ad081d552f3e1316a6f291c19e073c7386da1f7b847d1c5d090d0f79dc6f9640","0-ef0b49d765a6d32b61ea49686087cc96beadff0a1e81ed05aeb27ffaab5d0838","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","17.199","16.054","20.003","20.003","22.606","23.257","23.352","22.934","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","1-616d9414bf73a3b1ef3d200502460bc895006e134d5e100ff6e7b98fae03abfc","0-ef0b49d765a6d32b61ea49686087cc96beadff0a1e81ed05aeb27ffaab5d0838","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","8.206","8.883","10.229","10.229","8.793","8.043","9.128","9.807","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","2-0db93c0d2a2ece4b3a7598dbee472b9c7ba6399233c90a2d9a0b46737b14737c","0-ef0b49d765a6d32b61ea49686087cc96beadff0a1e81ed05aeb27ffaab5d0838","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","4.015","4.076","3.889","3.889","3.155","2.568","4.192","2.091","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","0-28cb1ab1c3132481dbf8ca0378bbfa52a4fee2f4ab640d0f9489ce7738cfda9b","1-6e394b0e527be8d6ac6d3a412f525a7f3948cc5244d2939ad0ff4d217ebed1b0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","0.634","1.268","1.578","1.578","2.338","2.053","1.474","0.8","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","1-901f0822d76d438fd38a7447cb3bf7114bd7dee4c188e155dc22091ae1df5594","1-6e394b0e527be8d6ac6d3a412f525a7f3948cc5244d2939ad0ff4d217ebed1b0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","0.254","0.634","0.657","0.657","0.774","0.649","0.579","0.25","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","2-442d42a739d915d8303e6d768f8e57d3934b0316462951b5e83273c2ac24c91f","1-6e394b0e527be8d6ac6d3a412f525a7f3948cc5244d2939ad0ff4d217ebed1b0","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","9.423","9.423","16.171","16.858","13.019","9.794","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","0-adef0d64d291c765ad8711e9f7eb2b272a14fd115c92b43d0ffde04080e1dab2","2-89087bf3bb4444c6210ea8f6d4490bb2ae4acb48474440cd1921fdd748a3cd14","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","8.904","8.904","16.38","17.094","10.666","2.259","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","1-61f8bacc5b9f6f41954515a6e154229428cbda6ea0f8e2a5be9480c809391246","2-89087bf3bb4444c6210ea8f6d4490bb2ae4acb48474440cd1921fdd748a3cd14","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","3.339","3.339","6.143","5.88","2.531","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","2-e0d3e894b07b7fc93ccaff506d48d5313f6b8c4d3fcf041aa0d1c97ec4cfef49","2-89087bf3bb4444c6210ea8f6d4490bb2ae4acb48474440cd1921fdd748a3cd14","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","26.2","26.2","23","0","0","0","0","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","0-075d382f78c50c9a838b850f8193a5b995d33b851f4f6ac91e75f093b260f10c","3-9e850c39c92101890518087bf9af987881d1121153c6d5871d50be85354beb9c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","0","0","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","1-380fdf2a8268fd649d3fc949b0202524f747336f15b120472f9f6e63d7cc9998","3-9e850c39c92101890518087bf9af987881d1121153c6d5871d50be85354beb9c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","0","0","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","b8ac2247acf66afbf7978fe6ad94c4d011d0b53b24c86bfa7558431c90ee91e2","2-5b46b60cc9b6f0e6d63d2384172724119407e68390d8c6d1d5b284ceb078005e","3-9e850c39c92101890518087bf9af987881d1121153c6d5871d50be85354beb9c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","3","9.919","22.919","14.882","13.883","5.95","","13","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","2feb2cae7495d6e112cfc6725e208b660d6dcc24ba4087acf2f06e92da375deb","0-3bbbee3c2b99e691cae02a6113ee0643f72893687475b004de02e2966ff386ca","0-5298b162012a9d23daf27e9cd6ecd24d560486f1f46f96323c32dc76d6398cbd","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","21.289","","79.19","79.19","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","01e36df9b6cabcf24e258d489781a51b6297a1d67da121b9d4b788a42347de0a","0-ce5d9a2928a4c85a234b50d6b5bb5ee174330fa81d6ed7e4e39fcf48ae0f60ef","0-1d3bc97722fab8f101208701bac9c484bf867b71530372d5783d6d1f14a2a8c4","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","3.005","15.18","15.18","10.232","2.082","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","01e36df9b6cabcf24e258d489781a51b6297a1d67da121b9d4b788a42347de0a","0-9dfef4046c20395025c87b3b0ecd110fb8519c62fdda482a033a1091798f38fa","1-08236e0965f4cf2f64ddb75b0fc1e6860b6ad64ebd03ee2a09cbd26925a65751","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","1.803","2.61","2.61","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","01e36df9b6cabcf24e258d489781a51b6297a1d67da121b9d4b788a42347de0a","1-57ca07caa19d6115f27067b32e7c7942dd10a6e07ba369e5832c0293575d5cef","1-08236e0965f4cf2f64ddb75b0fc1e6860b6ad64ebd03ee2a09cbd26925a65751","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","1.202","1.74","1.74","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","01e36df9b6cabcf24e258d489781a51b6297a1d67da121b9d4b788a42347de0a","2-f10803470f64b82c0327ba90db370052d7032d17d06949defc34307a6a469d75","1-08236e0965f4cf2f64ddb75b0fc1e6860b6ad64ebd03ee2a09cbd26925a65751","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","","8.7","","","","","8.7","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","01e36df9b6cabcf24e258d489781a51b6297a1d67da121b9d4b788a42347de0a","0-15dbd3160f5bab4929e1b2c1944c5cd8c393038e152ac6671ba48e8545301b58","2-9800e8404ea20d382a3c7b98847c6f0ee4e379948e9b79fe8df617dd596ddb43","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0.01","","","40.56","","","","","40.56","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","4837005fa474b068e1541c8735028da919d888ffa3f159e69aef4f82a7692ccb","0-64a120196045b2cf25bf79ba9cfbd884b897b4f7b863cc3ef049ce2ac54da8b8","0-950199b497b1b15f4fd791423ac9c85d49b03d184f76bbf718eb55095ecf0d4c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0.7","1.24","23.74","23.74","7.326","12.964","4.266","4.055","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","4837005fa474b068e1541c8735028da919d888ffa3f159e69aef4f82a7692ccb","0-80feb7d123a1ad91010948bcee7d6edceff5c96729f051374533f9b1b5862037","1-1e98c172a5f547b7acc6443627bc1774e24b66a8553262de155e48cd3d50c70b","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air National Guard","","","","","6","5.7","1.05","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","4837005fa474b068e1541c8735028da919d888ffa3f159e69aef4f82a7692ccb","1-e1cf558b75aca66ecef41b5513c8f4d6779c06977f84512c068353fc6307c38b","1-1e98c172a5f547b7acc6443627bc1774e24b66a8553262de155e48cd3d50c70b","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Reserve","","","","","6","4.5","0.75","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","4837005fa474b068e1541c8735028da919d888ffa3f159e69aef4f82a7692ccb","2-2d878853e5a588a102d609f360832d0394e66f0fc925652a3965ebd863b521b0","1-1e98c172a5f547b7acc6443627bc1774e24b66a8553262de155e48cd3d50c70b","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","7.7","2.661","17.478","17.478","8.5","7.9","10.635","21.277","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","4837005fa474b068e1541c8735028da919d888ffa3f159e69aef4f82a7692ccb","0-9b39f069fb699d7df83bdcdfbafd92e36272ae0b940242160190f8ed8f02f4c8","2-c26a4d826c320054a0238a4d0bb68baa56aadb53d663c5c8b490e6d7481fe779","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","31.919","31.919","3.253","3.526","3.34","4","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-0562104de615eecfdd904c974284395d6fae08fa7bc35469a4d2cea7e78b9e57","0-6bac50efb1bebde81486e0d05c540d2b2b755f350e796d7f559c5769f914e582","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","18.217","3.331","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-006e11f43454b5c7a6ec4c7d9c61e7870369574530c930931cd9454d0714dbd7","1-43e5f901a5c97fdc7fa58852a004a29e35cfbd8f8c55c7e0d25f7e93141c01c2","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","0.156","17.566","2.18","2.18","0.468","0.466","0.5","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-86449416a8a6a588f47c5263a3e25675173031b8f220fc11cc04073b43e622ba","2-c2f0dc36308b8649617a1b3a1ca28b2398f0d81cae96ecf6981abfff08238689","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","5.173","0","0","0","0","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-2b5e987a7b12153c76f8f37ff4ed5e48b8c50ee9788faf7191f13904fac38eb6","3-8c3b63b1b24fb5b1284bbe9a54c6acb7910581026ddcde34fb5fe6ac666468e3","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","16.811","27.612","","35.9","","","","","35.9","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-66d0e3462a19dab386787f7fc1cafa4e70a48d7c71b86bdff706fecb8ee0e0c4","4-f217ed1882ca7fe8fd05b33a015b3c70c0309aa916ed6ad2d59e524a1e231586","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","1.66","","","11.1","","","","","11.1","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-a7cf8cb11b39e1073b3d4d80991f93670a634afc9e4bbcff87ef0c1266f56c5c","5-20fd6428e1b3ab58f8d9faf550e5e671947c6c36e86972a9f4fbbc50e903ae4c","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","9.3","16.18","0","0","","0","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-0c010185f100eb7aef111241c86d88ce9a12aa7dd64e88b02e9089f7fa489326","6-2e02a90a62ae884f010ef798ee4b2fa3dcee6b0b36c2919cbcaf31ac56ed2d81","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","14.692","","","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-30d01b4395187ab36bf5081effd13004aa7b62b5ea0a8fad1201d303a2d173fb","7-3bcd277c5a3f2f82e234191c3428a2ebceee40f031e21d8cf7d4e493ae5a3f6d","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","2.53","2.53","2.53","1.954","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-9d7926d5f7c8604682f873ba8e1c3652066790ea6588a43667050ab48b783c5b","8-9010f2ea997fc51c28b4c5e41311925e524918081badf3d6ed3e223e64eafc01","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","29.5","","7","","","","","7","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-eafa4e4ce9e41dcb8c3aa09762d2b34f8692998ad031afbc4ecf6ca9414c3267","9-2a85f5edd2ceb5b418ebb0544bfd6aca0d538982ecc798ae4acbd85002973fce","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","107.4","0","0","","","","","","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-1f48fdabbeb9dbeb992ee5622159ffae70366cdd1add479a3cda86ac9f37d659","10-7f406b712910bede6a8013f4c9dfd00f4412dfce62b9f06c14907bebdcc4ba0d","root.record.ItemExhibitList.P3AModificationItemGroup"
"Air Force Active","","","","24.5","","","","","24.5","","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_AIRCRAFT_VOL2-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","46eabe1aa006b991fd560c31558832308b53ee837535848f9be889394c30f590","0-ef98797e925fb937dddafc924b08ae56c3800a37ec480ef7fa09731381e682c8","11-0b78866b5d667315d83032e653e90d3c8dd78ac672804c336566d667f44268bd","root.record.ItemExhibitList.P3AModificationItemGroup"
