Name_val,IdCode_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"GEO 5-6 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","310.407","","46.804","30.282","30.282","233.321","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","1-c6888db39d87476d27918ca8bf251e3d2b41ad4d5b74cbb651b215e50a88a7ad","","1-a1a70f8b78cd7910948ae203ae0600ec6dc83a5bb98a95b9247f1fe1aeb3c678","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","75.269","","","17.284","17.284","18.826","14.172","12.807","12.18","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","2-11cd00c4470b8f24b95af76a322ab69a84bf495db049e2eaad3aee13d7b9d84a","","1-a1a70f8b78cd7910948ae203ae0600ec6dc83a5bb98a95b9247f1fe1aeb3c678","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","133.821","","22.415","22.232","22.232","27.743","20.996","20.788","19.647","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","3-a367950fa90be7fc8f90f0ac85c8f0f092703e78bb1aeb508e270350c062ad96","","1-a1a70f8b78cd7910948ae203ae0600ec6dc83a5bb98a95b9247f1fe1aeb3c678","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","0-59e433377bccd30e181e8035071e5ea89aa1337430ba0d6bb84eb3c509cab1de","","2-09a6846cf9ba014c973af804dd3fc3f3145e5ba79cbda59fcbbaa7f89b02b229","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","1-15f6e1c06e7cc58e9f656733b9fcaf319fb723a95f58d3f0ae65533950a10d3d","","2-09a6846cf9ba014c973af804dd3fc3f3145e5ba79cbda59fcbbaa7f89b02b229","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","2-6d9c569f2bd4de0c2af301d74380a02b4e060dcf6505a1c3eaa8d6c8b5ecbf5d","","2-09a6846cf9ba014c973af804dd3fc3f3145e5ba79cbda59fcbbaa7f89b02b229","root.record.ItemExhibitList.P5Item"
"WGS SV 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","3255501ffa7e007f3c342626c3859e23ce9cb25fcae262f3ab8cf068655a5acb","0-13f420ff5ff07007d401377a8f3d07a7eb28a862daf7e51b8bd6b08b3cf76df2","","0-adc08b32dcfb71a8a2c14bc4a0b96305303ac8437dc71ea09854df252c7ea152","root.record.ItemExhibitList.P5Item"
"WGS SV 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","3255501ffa7e007f3c342626c3859e23ce9cb25fcae262f3ab8cf068655a5acb","1-c32c8945d21b80876df65febaba16a54da8ecba77fc1084f9d468981bcb68cb0","","0-adc08b32dcfb71a8a2c14bc4a0b96305303ac8437dc71ea09854df252c7ea152","root.record.ItemExhibitList.P5Item"
"WGS SV 10 (Congressional add)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","3255501ffa7e007f3c342626c3859e23ce9cb25fcae262f3ab8cf068655a5acb","2-a7f75f13b1379e8ff87af4cce4613012ff636370c66400a68fe3699e20db2b08","","0-adc08b32dcfb71a8a2c14bc4a0b96305303ac8437dc71ea09854df252c7ea152","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","0","0","233.763","0","232.62","1.143","1.143","","","","","0","","233.763","","232.62","","","","","","","","Lockheed Martin","Denver, CO","0.00","0.00","0.00","0","0","0","0","0","6","66","72","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ac7f5f0c477ea2e319b9718d793e60f8044918482b7746f84839bc5fb8abfd6c","0-b573d6e05a8503c53b103525e1cb6359ba1e246dd9d715839a5b5e6895381211","","0-3e4e02be603609c5d6dd73ca044259e62d343839f88af570cc558b694c2bbb0d","root.record.ItemExhibitList.P5Item"
"GPS III SV11+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","","","","2","3","3","2","12","","2691.281","4652.52","","","","","491.082","558.396","489.461","422.3","","","211.478","","","","","245.541","186.132","163.154","211.15","224.273","TBD","TBD","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ac7f5f0c477ea2e319b9718d793e60f8044918482b7746f84839bc5fb8abfd6c","1-34852970cff34f70af82c431da0bdb16733da81dbd7bf047b9967f82831a4e17","","0-3e4e02be603609c5d6dd73ca044259e62d343839f88af570cc558b694c2bbb0d","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.408","4.297","","1.098","2.272","2.272","0.124","0.128","0.131","0.136","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ac7f5f0c477ea2e319b9718d793e60f8044918482b7746f84839bc5fb8abfd6c","2-c1df6e046a01b4458d574b4f9f52fa9e38dbdb8948fd681460458d53743fd4c2","","0-3e4e02be603609c5d6dd73ca044259e62d343839f88af570cc558b694c2bbb0d","root.record.ItemExhibitList.P5Item"
"GPS III SV11+ Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.283","34.717","","","","","2.972","3.061","3.153","3.248","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ac7f5f0c477ea2e319b9718d793e60f8044918482b7746f84839bc5fb8abfd6c","3-b754ecc9f6038dde7521266f95305075269a69f1644cf7c8e0f70412f1666a80","","0-3e4e02be603609c5d6dd73ca044259e62d343839f88af570cc558b694c2bbb0d","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.113","30.853","","13.278","12.766","12.766","0.644","0.664","0.684","0.704","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ac7f5f0c477ea2e319b9718d793e60f8044918482b7746f84839bc5fb8abfd6c","4-e01b40010adfefa13cdb4fc9b5df04a823667829386e7c58470ebd4682d73780","","0-3e4e02be603609c5d6dd73ca044259e62d343839f88af570cc558b694c2bbb0d","root.record.ItemExhibitList.P5Item"
"GPS III SV 11+ Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.694","186.404","","","","","15.468","15.931","16.409","16.902","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","ac7f5f0c477ea2e319b9718d793e60f8044918482b7746f84839bc5fb8abfd6c","5-fd02a8ee3b222b76a982e93af5e875dbede02f95a5dcbf3ceb625c4ee25aec2d","","0-3e4e02be603609c5d6dd73ca044259e62d343839f88af570cc558b694c2bbb0d","root.record.ItemExhibitList.P5Item"
"AEHF Space Vehicle (SV) 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","0-8e6fbcd2ad698bc6845fe5ff48f39c094010c2344b86bd6a8d0759281b5dc55b","","0-73eb9964c3d12c173834f51be32889b720fd567e94df9670132a370bd33cd918","root.record.ItemExhibitList.P5Item"
"AEHF Space Vehicle (SV) 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","1-02d798bae9aa7f0033fcba84f4494fe3e0a89aaaa285f0e2a00b5b1aeaff65fd","","0-73eb9964c3d12c173834f51be32889b720fd567e94df9670132a370bd33cd918","root.record.ItemExhibitList.P5Item"
"Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3.781","","2.302","1.479","1.479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","2-1ed221401ce8fc3332f7ef88f300bbc5ab4a5d57ef79cf5ec9d9b2c05c602f1b","","0-73eb9964c3d12c173834f51be32889b720fd567e94df9670132a370bd33cd918","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis (WS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","20.764","","10","10.764","10.764","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","3-664802000b2f6294c755988752560fd594375aa61446f2cf4ee0897b0a6f5e55","","0-73eb9964c3d12c173834f51be32889b720fd567e94df9670132a370bd33cd918","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Block Buy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","726.57","0","165.579","560.991","560.991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","0-5293dc345727d054a9d3ee826df6573445e0baac642a1fcc8819a19de6911b34","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"FY14 Incremental Funding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","1-d63da302abaed810c88b660e175b9cfc4011bad3035780264530fd7f74a188a9","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"FY15 Incremental Funding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","2-d33ee90eacac10c65e35b45464ba60142d5bfcecdcf09dbfe1e719e030c51140","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"FY16 Incremental Funding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","3-3d07854167968893b78a8d7f703ff28b111709837a3214990855f7bfc5273f65","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","4-93e5937ad48f34f93974177dac40a2ed8ad092383703ba0d44ce5462982888cd","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"Plus Advance Procurement CY AEHF SV 5-6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","5-50c5c99c218f25f3950aa806976a680748ac7cabb1e54c607bb7731f102a9038","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"Less Advance Procurement PY AEHF SV 5-6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","6-5b283c20c3f746ea5c25898b89987d9f2db1445fe6142c7b8f6bb1e7e276c066","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","54.967","","9.934","10.558","10.558","12.773","4.802","7.9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","7-75063020ca0f9d765b34feed023d2b1b7514ce5cc3cfc9656c334bd9fff68d83","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","69.459","","13.929","14.761","14.761","18.039","9.358","6.472","6.9","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","8-f3832faf2699d81419e1b5a212110aa21e788e84fe967339bd375fb9079f5189","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"ACF/IC2 Test Asset Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","55.749","","8.976","9.251","9.251","9.093","9.597","9.857","8.975","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","622a961e61c51e71dc767e0663820faf952edbc779ff5319c347e1e1c9514817","9-4d71bccb108a2c668fb9c9902664f3247960d2c4ea83535ea602162759e70cc3","","1-4f4d84faa7907447c6938a266674402ca901f7093ee4bd5ca2327afd89f092ad","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","5.396","","5.396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","0-31640fc441e674f99b71463559903e6efd39ea894ab92c3746055b13fb4cbfbd","","0-74d80ee14cba885d6deff834a021222ae6104dc6d64c8e0811655bf7b9bc2637","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.983","","0.983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","1-d2b742e6b4163f17079f716ea7ced275d0eb7d90b831b3391e1fa7a25449929e","","0-74d80ee14cba885d6deff834a021222ae6104dc6d64c8e0811655bf7b9bc2637","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","10.418","","10.418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","2-5a15bfe4f5c7748441ff7e1d39f428ec074b844b8514d66ca43ed165db3655cc","","0-74d80ee14cba885d6deff834a021222ae6104dc6d64c8e0811655bf7b9bc2637","root.record.ItemExhibitList.P5Item"
