Name_val,Name_@footnote,Cost_Quantity_AllPriorYears_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_Quantity_Total_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_TotalCost_Total_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_ToComplete_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2.1.10) ECP-0035 Daylight Ops - Organic","","210","","","","","","","","","","","210","25.525","","","","","","25.525","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","0-532138e310fc1af2551f7b98e9f2fb64a23b75aca62460cd5a41980e32f3a240","13-cc6e9dd6f7fd67fc6b0443635ef1871802e5ed64649314ff0101a32abc39a4c6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.11) H16 SCS - Organic","","","","","","","","","","","","","","","","0.042","","","","0.042","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","0-53bcea9affa5e979bb1481419ae116a60adddddbe8d092b03b4edb82fe2cfdd6","14-db911ad2989288040dfe9ea98ec746cbbf72d05c7b4b2f60d7b46b05ec11bb24","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.12) OFP5XX - S/W Tracking Updates - Organic","","","","","","","","","","","","","","","","","","","","9.691","","","","4.691","5","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","0-9c69cf36b4ca7857fc04ed2bd34b968c9e1693647218ad61f93e33011fe8d4a1","15-1ec3d5f00893c627e99971cbc28f5b9ded679057751090faf26c6bc8e4feee95","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.13) B-Kits Archive - Organic","","","","","","","","","","","","","","513.738","","","","","","513.738","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","0-8bfab2aa53016666c883887e23e882c642b4f6f0fc4c847d42fc1ce7c8583424","16-3adbc81d0ae5ec3ce18a34e61449b28df089b7185a3d5c021a017abadcb3dc40","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.1.14) Prior Year installs - Organic","","504","","","","","","","","","","","504","3.018","","","","","","3.018","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","0-40d372c27d0f83c8a7647917fb6d52fe4d859d0378e5e09a48f3f48d6c5c994b","17-1061573ad426e811507d788276a60b7d97000ee8a57b0c2b2efe7b78576f777a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"2.2.1) Installation Equipment N/R - Organic","Funding for non-recurring engineering in FY20 and FY21 is for ECP-0035 integration into current aircraft configuration for the ATFLIR Modernization program.","","","","","","","","","","","","","82.389","7.543","","7.803","7.803","","101.155","3.42","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","0-304b230e0baf0416155651d2f138ee736fbbd59010e03408e1504a7787a390af","18-2825ec4eab86a056259b2551297f7cde3bea780c44d027f7ff96aa88e2c787d2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.1) ECP-1049  Fuel Pressurization System Check Valve Failure - NonOrganic","","59","","","","","","","","","","","59","0.098","","","","","","0.098","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","0-94f4d4cab2c753e06ed35fdbc18f8d493bc43b2035faa0216c18abf7ba192e32","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.2) ECP-1137NI: Fire Extinguisher Temp Compensating Pressure Switch (TCPS) - NonOrganic","","17","","","","","","","","","","","17","0.062","","","","","","0.062","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","1-571b30d99b197b4490b0ed9fd72361a51dad94122cd4e0854bb9cd4aef500588","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.3) ECP-5046C1  BALD Transponder Rotation - Change Incorporation Level - NonOrganic","","133","","","","","","","","","","","133","0.09","","","","","","0.09","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","2-10fac3f086a8ce762e060d7e6e68b125ada4ce71c22173ecc644827d600b6a1e","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.4) ECP-5073: Retrofit of the Trailing Edge Flap Fastener Hole Cold Working - NonOrganic","","69","","","","","","","","","","","69","0.177","","","","","","0.177","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","3-6057765ea56049ca90e84869fe004308b5104e4a80da653dd9a47d0f89dd1cf1","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.6) ECP-6089R1  Engine Bay Door Strut Redesign - NonOrganic","","69","","","","","","","","","","","69","0.003","","","","","","0.003","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","4-c6c03ece68f6e3644478c67772bcd65bdcbf501d0ef21517023fbfe423887e9f","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.7) ECP-6106R1  Exhaust Overtemp Final Fix/Bard Stacks - NonOrganic","","223","","","","","","","","","","","223","15.966","","","","","","15.966","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","5-9c9fd7a0be5837310e0b5b07830aa8f61854f177cf3cd8b1fe0cbde07f4a4225","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.8) ECP-6118 Keel Access Cover @ Y631-Y645 - NonOrganic","Kits were procured under OSIP 19-01, starting in FY10, installs are funded under OSIP 14-03","19","","","","","","","","","","","19","0","","","","","","0","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","6-76e05961c5e64ce1a02e60d1a9bbff88328ac406d845ecaf5bcc9d0e2b58afc1","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.9) ECP-6188  Y436 Inlet Former - NonOrganic","","183","","","","","","","","","","","183","1.912","","","","","","1.912","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","7-7ceb5c1e593c737ee7454154cff94ea9310d04f1ae000b7e7ea0e71c3481cc8e","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.10) ECP-6193R1/R2  (LEX ) Lwr Surface/Structure Cracks Redesign Y286 / Y294 - NonOrganic","","219","","","","","","","","","","","219","27.472","","","","","","27.472","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","8-8398b28841b29dd29a6eb956499a4e47d1cea249d62ba22c46f3d21e783adf6a","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.11) ECP-6198  Radar Bay Vent Valve Fail - MSP 862 - NonOrganic","","91","","","","","","","","","","","91","0.005","","","","","","0.005","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","9-7c5be9c44b5821db503b9c0258054458992740b4e2112e9df5fdc4b9b7baf344","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.12) ECP-6206  Y679 Former Boot Strap Interface Fillet Seal Missing - NonOrganic","","80","","","","","","","","","","","80","0.014","","","","","","0.014","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","10-108f3d647d5e7d036ce2b019883d74d20c869b04f4f98efbbdba8c06f4414335","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.14) ECP-6217  Cockpit Pressure Warning System (CPWS) - NonOrganic","","292","","","","","","","","","","","292","2.869","","","","","","2.869","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","11-8e58bc12fd8f415a503b490c415af740adb4defd3bc9e1a911ecb70393124c74","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.15) ECP-6221  Bay 4L-Y357 Bulkhead Horizontal Flange Life Limit - NonOrganic","","109","","","","","","","","","","","109","1.028","","","","","","1.028","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","12-41ae10682af3ad9e5ffb83dd6bb82d757ebda78b204e0ec3b0d40bd7e456805d","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.17) ECP-6231 ECS/APU Bay Sealing Issues - NonOrganic","ECP-6231 kits were purchased under OSIP 19-01","11","","","","","","","","","","","11","0","","","","","","0","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","13-b5cee2f169974a66bfa326353add5825eff662fe981c2be544434e0c7b6b0ef0","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.19) ECP-6238 Inadequate Clearance - APU Surge Cntrl Valve & Y568 Spt - NonOrganic","","124","","","","","","","","","","","124","0","","","","","","0","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","14-a6b9ea223ad533dfefc9f2e09b5212447f0ae0aed22c84cb3d93c8613b96d19b","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.20) ECP-6240R1 / FT50 18K MLG Sidebrace Fitting Failure - NonOrganic","","296","","","","","","","","","","","296","13.43","","","","","","13.43","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","15-4187648c047ae1a79bc88c2aa657c5e452a459cfbe431791d5d287e22fcd4842","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.21) ECP-6245  Inboard Wing Closure Bolt, Anti-Rotation Retainer - NonOrganic","","21","","","","","","","","","","","21","0.247","","","","","","0.247","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","16-3cc1bc91a00dd043b8165852c88845b2fa484130bfe66d325e9e58d6af06d9b8","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.22) ECP-6249  Nut Plate Installation Sealing - NonOrganic","","212","","","","","","","","","","","212","0.107","","","","","","0.107","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","17-9a6c616a4b70bfe755624d101d77f930a5d685b066475753c94e4894d623d1c9","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.23) ECP-6262  Y591 Bulkhead Missing Fasteners at Keel Longeron - NonOrganic","","181","","","","","","","","","","","181","1.082","","","","","","1.082","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","18-06bb5285b74fd4371692722ae9f33e535612b2d4cd748a07f1a03e0f246e2bcc","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.24) ECP-6301 Doors 37, 307, and 124 Drainage Issues - NonOrganic","installs are required and listed as OOW","251","","","","","","","","","","","251","0","","","","","","0","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","19-c55cde3316e8e31a456825487f6624101c1281e758ca76e012b5d7428c15c99e","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.25) ECP-6308 ECS warm air duct deflections - NonOrganic","","218","","","","","","","","","","","218","0","","","","","","0","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","20-0a9cab9e17024849e0470e061c380ce35b8ba5bfc280ef30f70e113869eecc92","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.26) ECP-6322  Dry Bay Fire Suppression System (DBFSS) - NonOrganic","","373","","","","","","","","","","","373","0.65","","","","","","0.65","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","21-0bbcf33a7daf2554e23a7bee08f570b22566a870b14cd7d6041a886098c99966","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.27) ECP-6325R1  Y618 Inbrd Former / Keel Longeron Arrestment Load - NonOrganic","","458","","","","","","","","","","","458","0.519","","","","","","0.519","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","22-49f2245d1405014ee0eaad522ab55ab91779c32dc62b0a8820d6538b877a936c","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.28) ECP-6353  F/A-18E/F Lower Wing Hinge Corrosion Improvements - NonOrganic","","204","","","","","","","","","","","204","1.995","","","","","","1.995","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","23-7f30f02f48cfa0e3c0ca7efc9ee5a49fa2d17ee1fb05d38a7e6baa8850bb9c49","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.29) ECP-6366 Outer-Wing Inboard Aileron Hinge and SPAR 4 - NonOrganic","","84","","","","","","","","","","","84","1.623","","","","","","1.623","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","24-b5445f7143b7b5d90791d21b82417bbfb8600511037fa216cf735e7cad9923f8","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.30) ECP-6372  Y233 Bulkhead Rudder / Break Pully Bracket Attachment - NonOrganic","","351","","","","","","","","","","","351","0.118","","","","","","0.118","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","25-37fec3f059ee0c5b7a284066b468fb04ecee3f1b090fc05647922ad5d1d2a940","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.31) ECP-6388 Outer-Wing Water Drainage Provisions - NonOrganic","","338","","","","","","","","","","","338","0","","","","","","0","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","26-0ab1d8f0f9b9964bf53641d0cb905014f1e8ccde2a4a71560c530e1598c4c6c6","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
"1.1.35) ECP-6416 Environment Control Sys Anti-Ice Duct Bracket - NonOrganic","Future funding for this ECP has been realigned to OSIP 13-19 in FY19 for better visibility of PE efforts.","288","","","","","","","","","","","288","2.609","","","","","","2.609","","","","","","2020-BASE_PROCUREMENT-2020-NAVY_AIRCRAFT_BA1-4-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Navy_PB_2020.xml","1a91ae863a7881c5ab7e873faad5a78b2075405482baaab15aba117a4dd8d3df","27-fa3fe2e73d11900f43a3c16b8988ea7ac4ccb2c17b459df2da95f34caafb9784","0-3b163629c34efd1d84e4d1bada934ef36f44eb127d5d25c74c1a39b0463bfde7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.IndividualModInstallationList.IndividualModInstallation"
